"","couponID","price","basePrice","reward","brand","productGroup","catSub1","catSub2","catSub3","catSub4","catSub5","nSubCats"
"4","cpn4",2.32,1.59,1.57,"brand2","prod4","cat5",NA,NA,NA,NA,1
"5","cpn5",3.7,1.85,0.94,"brand3","prod5","cat6",NA,NA,NA,NA,1
"6","cpn6",3.89,0.06,2.2,"brand2","prod6","cat6",NA,NA,NA,NA,1
"10","cpn10",2.5,2.08,1.57,"brand6","prod10","cat1",NA,NA,NA,NA,1
"13","cpn13",12.27,2.45,1.26,"brand6","prod7","cat1",NA,NA,NA,NA,1
"15","cpn15",4.91,2.45,1.57,"brand4","prod14","cat5",NA,NA,NA,NA,1
"18","cpn18",5.51,1.43,3.14,"brand3","prod17","cat5",NA,NA,NA,NA,1
"20","cpn20",10,1.33,0.94,"brand3","prod18","cat5",NA,NA,NA,NA,1
"21","cpn21",3.52,1.76,1.88,"brand2","prod14","cat5",NA,NA,NA,NA,1
"23","cpn23",4.82,0.6,1.57,"brand3","prod11","cat3",NA,NA,NA,NA,1
"24","cpn24",6.21,1.24,1.57,"brand4","prod19","cat5",NA,NA,NA,NA,1
"27","cpn27",11.86,2.96,1.26,"brand3","prod21","cat12",NA,NA,NA,NA,1
"29","cpn29",3.06,0.61,1.26,"brand4","prod22","cat5",NA,NA,NA,NA,1
"30","cpn30",5.42,0,1.26,"brand3","prod23","cat13",NA,NA,NA,NA,1
"32","cpn32",7.36,1.47,1.57,"brand3","prod24","cat5",NA,NA,NA,NA,1
"33","cpn33",5.09,0.73,2.2,"brand3","prod25","cat13",NA,NA,NA,NA,1
"35","cpn34",3.15,0.9,1.26,"brand2","prod26","cat3",NA,NA,NA,NA,1
"36","cpn35",5.74,0,1.88,"brand2","prod27","cat5",NA,NA,NA,NA,1
"37","cpn36",5.33,4.44,0.94,"brand7","prod1","cat1",NA,NA,NA,NA,1
"40","cpn39",5.56,4.27,1.57,"brand3","prod30","cat1",NA,NA,NA,NA,1
"41","cpn40",11.44,1.31,1.88,"brand2","prod26","cat3",NA,NA,NA,NA,1
"42","cpn41",14.36,2.87,0.94,"brand3","prod19","cat5",NA,NA,NA,NA,1
"43","cpn42",8.43,3.51,1.88,"brand2","prod31","cat1",NA,NA,NA,NA,1
"44","cpn43",3.75,1.07,0.94,"brand2","prod8","cat3",NA,NA,NA,NA,1
