orderID,TimeBtwnRecExpire,coupon2Used,basketValue,coupon3Used,TimeBtwnOrderExpire,premiumProduct1,reward2,premiumProduct2,brand2,productGroup2,orderTimeWeekend,orderTimeFriSat,couponID1,price1,basePrice1,reward1,productGroup3,couponsSent,userID,coupon1Used,TimeBtwnRecOrder,productGroup1,brand3,couponsReceivedDate,couponsReceivedTime,couponsReceivedDoW,couponsReceivedWeekend,categoryIDs2,couponID3,price3,basePrice3,reward3,premiumProduct3,couponsExpire,couponsReceived,orderTime,TimeBtwnSentRec,brand1,categoryIDs3,batchID,categoryIDs1,couponID2,price2,basePrice2,couponsReceivedFriSat,orderTimeDate,orderTimeTime,orderTimeDoW
6054,159.947777777778,,,,159.835,1,1.57,0,brand3,prod11,0,0,cpn22,9.17,2.04,0.94,prod19,2015-03-10 00:00:01,user8,,0.112777777777778,prod7,brand4,2015-03-10,9,Tuesday,0,cat3,cpn24,6.21,1.24,1.57,1,2015-03-17 00:00:01,2015-03-10 08:03:09,2015-03-10 08:09:55,8.05222222222222,brand4,cat5,10,cat1:cat7,cpn23,4.82,0.6,0,2015-03-10,55,Tuesday
6055,158.883611111111,,,,157.946111111111,1,1.57,0,brand3,prod28,0,0,cpn22,9.17,2.04,0.94,prod75,2015-03-10 00:00:01,user769,,0.9375,prod7,brand4,2015-03-10,0,Tuesday,0,cat3,cpn158,2.69,2.69,1.57,1,2015-03-17 00:00:01,2015-03-10 09:07:00,2015-03-10 10:03:15,9.11638888888889,brand4,cat5:cat7:cat4,10,cat1:cat7,cpn585,9.22,2.56,0,2015-03-10,15,Tuesday
6056,158.141666666667,,,,157.286111111111,0,1.57,0,brand2,prod11,0,0,cpn3346,7.83,1.73,0.94,prod44,2015-03-10 00:00:01,user783,,0.855555555555556,prod51,brand4,2015-03-10,31,Tuesday,0,cat3,cpn2245,3.33,2.38,0.63,1,2015-03-17 00:00:01,2015-03-10 09:51:31,2015-03-10 10:42:51,9.85833333333333,brand2,cat5:cat7,10,cat8:cat9,cpn440,5.93,0.98,0,2015-03-10,51,Tuesday
6057,155.151388888889,,,,154.951666666667,0,1.26,0,brand2,prod26,0,0,cpn881,6.39,2.56,1.57,prod123,2015-03-10 00:00:01,user448,,0.199722222222222,prod51,brand11,2015-03-10,56,Tuesday,0,cat3,cpn597,4.54,1.13,0.94,0,2015-03-17 00:00:01,2015-03-10 12:50:56,2015-03-10 13:02:55,12.8486111111111,brand3,cat10:cat5:cat18,10,cat8:cat9,cpn2240,4.35,1.74,0,2015-03-10,55,Tuesday
6058,154.784166666667,,,,154.117222222222,0,1.57,1,brand4,prod13,0,0,cpn1537,13.34,4.45,1.57,prod14,2015-03-10 00:00:01,user5,,0.666944444444444,prod1,brand4,2015-03-10,58,Tuesday,0,cat3:cat7,cpn15,4.91,2.45,1.57,1,2015-03-17 00:00:01,2015-03-10 13:12:58,2015-03-10 13:52:59,13.2158333333333,brand6,cat5,10,cat1,cpn14,5.74,0.88,0,2015-03-10,59,Tuesday
6059,153.096388888889,,,,153.081666666667,0,0.63,0,brand2,prod11,0,0,cpn566,2.73,2.09,1.57,prod52,2015-03-10 00:00:01,user489,,0.0147222222222222,prod38,brand3,2015-03-10,14,Tuesday,0,cat3,cpn937,5.37,0,1.26,0,2015-03-17 00:00:01,2015-03-10 14:54:14,2015-03-10 14:55:07,14.9036111111111,brand6,cat5,10,cat1,cpn447,5.56,1.11,0,2015-03-10,7,Tuesday
6060,152.890555555556,,,,152.754722222222,0,1.26,1,brand4,prod22,0,0,cpn28,7.5,1.25,0.94,prod23,2015-03-10 00:00:01,user10,,0.135833333333333,prod15,brand3,2015-03-10,35,Tuesday,0,cat5,cpn30,5.42,0,1.26,0,2015-03-17 00:00:01,2015-03-10 15:06:35,2015-03-10 15:14:44,15.1094444444444,brand2,cat13,10,cat8:cat9,cpn29,3.06,0.61,0,2015-03-10,44,Tuesday
6061,153.216111111111,,,,152.668611111111,1,0.94,1,brand4,prod63,0,0,cpn652,10,166.72,0.94,prod63,2015-03-10 00:00:01,user2962,,0.5475,prod15,brand4,2015-03-10,3,Tuesday,0,cat5:cat7,cpn1925,2.32,0,1.57,0,2015-03-17 00:00:01,2015-03-10 14:47:03,2015-03-10 15:19:54,14.7838888888889,brand4,cat5,10,cat8:cat7,cpn1156,4.82,7.41,0,2015-03-10,54,Tuesday
6062,152.317777777778,,,,152.226666666667,0,1.26,0,brand3,prod63,0,0,cpn272,15.7,15.7,1.26,prod63,2015-03-10 00:00:01,user827,,0.0911111111111111,prod17,brand3,2015-03-10,57,Tuesday,0,cat5:cat18:cat9,cpn653,3.33,6.67,1.57,0,2015-03-17 00:00:01,2015-03-10 15:40:57,2015-03-10 15:46:25,15.6822222222222,brand3,cat5:cat18,10,cat5:cat9,cpn1586,6.02,0,0,2015-03-10,25,Tuesday
6063,152.8475,,,,152.21,0,1.57,0,brand3,prod26,0,0,cpn1691,23.06,6.98,0.94,prod9,2015-03-10 00:00:01,user151,,0.6375,prod131,brand5,2015-03-10,10,Tuesday,0,cat3,cpn9,2.73,0.88,1.26,0,2015-03-17 00:00:01,2015-03-10 15:09:10,2015-03-10 15:47:25,15.1525,brand5,cat5:cat2,10,cat1,cpn1181,20.33,0.81,0,2015-03-10,25,Tuesday
