orderID,coupon2Used,couponID2,basePrice2,price2,basketValue,TimeBtwnRecExpire,couponsReceivedFriSat,orderTimeDate,orderTimeTime,orderTimeDoW,reward3,premiumProduct3,couponsExpire,couponsReceived,orderTime,TimeBtwnSentRec,brand1,categoryIDs3,batchID,categoryIDs1,coupon3Used,TimeBtwnOrderExpire,premiumProduct1,reward2,premiumProduct2,brand2,productGroup2,orderTimeWeekend,orderTimeFriSat,couponID1,price1,basePrice1,reward1,productGroup3,couponsSent,userID,coupon1Used,TimeBtwnRecOrder,productGroup1,brand3,couponsReceivedDate,couponsReceivedTime,couponsReceivedDoW,couponsReceivedWeekend,categoryIDs2,couponID3,price3,basePrice3
1,1,cpn2,0.57,5.19,187.6,158.418888888889,0,2015-01-06,35,Tuesday,2.2,0,2015-01-13 00:00:01,2015-01-06 09:34:53,2015-01-06 09:38:35,9.58111111111111,brand1,cat5:cat4:cat2,1,cat1:cat2,0,158.357222222222,0,1.57,0,brand2,prod2,0,0,cpn1,3.24,5.4,1.57,prod3,2015-01-06 00:00:01,user1,0,0.0616666666666667,prod1,brand3,2015-01-06,53,Tuesday,0,cat3:cat4,cpn3,12.92,12.92
2,0,cpn5,1.85,3.7,185.93,157.988055555556,0,2015-01-06,19,Tuesday,2.2,0,2015-01-13 00:00:01,2015-01-06 10:00:44,2015-01-06 10:03:19,10.0119444444444,brand2,cat6,1,cat5,1,157.945,0,0.94,0,brand3,prod5,0,0,cpn4,2.32,1.59,1.57,prod6,2015-01-06 00:00:01,user2,1,0.0430555555555556,prod4,brand2,2015-01-06,44,Tuesday,0,cat6,cpn6,3.89,0.06
3,0,cpn8,1.39,4.17,208.07,158.5125,0,2015-01-06,13,Tuesday,1.26,0,2015-01-13 00:00:01,2015-01-06 09:29:16,2015-01-06 10:08:13,9.4875,brand4,cat5:cat2,1,cat1:cat7,0,157.863333333333,1,1.26,1,brand4,prod8,0,0,cpn7,7.92,2.64,1.26,prod9,2015-01-06 00:00:01,user3,0,0.649166666666667,prod7,brand5,2015-01-06,16,Tuesday,0,cat3:cat7,cpn9,2.73,0.88
4,1,cpn11,0.73,3.66,185.8,154.780277777778,0,2015-01-06,23,Tuesday,1.57,0,2015-01-13 00:00:01,2015-01-06 13:13:12,2015-01-06 13:23:23,13.2197222222222,brand6,cat5:cat2,1,cat1,0,154.610555555556,0,1.57,1,brand4,prod11,0,0,cpn10,2.5,2.08,1.57,prod12,2015-01-06 00:00:01,user4,1,0.169722222222222,prod10,brand5,2015-01-06,12,Tuesday,0,cat3:cat7:cat4,cpn12,5.74,4.25
5,0,cpn14,0.88,5.74,272.12,155.188888888889,0,2015-01-06,22,Tuesday,1.57,1,2015-01-13 00:00:01,2015-01-06 12:48:41,2015-01-06 13:37:22,12.8111111111111,brand6,cat5,1,cat1,0,154.3775,0,1.57,1,brand4,prod13,0,0,cpn13,12.27,2.45,1.26,prod14,2015-01-06 00:00:01,user5,0,0.811388888888889,prod7,brand4,2015-01-06,41,Tuesday,0,cat3:cat7,cpn15,4.91,2.45
6,0,cpn17,1.44,4.35,126.01,152.761388888889,0,2015-01-06,36,Tuesday,3.14,0,2015-01-13 00:00:01,2015-01-06 15:14:20,2015-01-06 15:26:36,15.2386111111111,brand2,cat5,1,cat8:cat9,1,152.556944444444,0,1.26,0,brand3,prod16,0,0,cpn16,7.5,1.25,0.63,prod17,2015-01-06 00:00:01,user6,1,0.204444444444444,prod15,brand3,2015-01-06,20,Tuesday,0,cat10:cat2,cpn18,5.51,1.43
7,0,cpn20,1.33,10,301.43,152.868888888889,0,2015-01-06,48,Tuesday,1.88,0,2015-01-13 00:00:01,2015-01-06 15:07:53,2015-01-06 15:28:48,15.1311111111111,brand4,cat5,1,cat1:cat7,0,152.520277777778,1,0.94,0,brand3,prod18,0,0,cpn19,4.68,2.59,1.26,prod14,2015-01-06 00:00:01,user7,0,0.348611111111111,prod7,brand2,2015-01-06,53,Tuesday,0,cat5,cpn21,3.52,1.76
8,1,cpn23,0.6,4.82,141.34,152.623333333333,0,2015-01-06,30,Tuesday,1.57,1,2015-01-13 00:00:01,2015-01-06 15:22:37,2015-01-06 15:29:30,15.3766666666667,brand4,cat5,1,cat1:cat7,1,152.508611111111,1,1.57,0,brand3,prod11,0,0,cpn22,9.17,2.04,0.94,prod19,2015-01-06 00:00:01,user8,1,0.114722222222222,prod7,brand4,2015-01-06,37,Tuesday,0,cat3,cpn24,6.21,1.24
9,0,cpn26,1.99,3.98,199.46,152.680277777778,0,2015-01-06,5,Tuesday,1.26,0,2015-01-13 00:00:01,2015-01-06 15:19:12,2015-01-06 15:36:05,15.3197222222222,brand3,cat12,1,cat11:cat12,0,152.398888888889,0,1.88,0,brand2,prod14,0,0,cpn25,4.54,4.54,1.26,prod21,2015-01-06 00:00:01,user9,0,0.281388888888889,prod20,brand3,2015-01-06,12,Tuesday,0,cat5:cat4,cpn27,11.86,2.96
10,0,cpn29,0.61,3.06,95.21,152.563611111111,0,2015-01-06,35,Tuesday,1.26,0,2015-01-13 00:00:01,2015-01-06 15:26:12,2015-01-06 15:37:35,15.4363888888889,brand2,cat13,1,cat8:cat9,1,152.373888888889,0,1.26,1,brand4,prod22,0,0,cpn28,7.5,1.25,0.94,prod23,2015-01-06 00:00:01,user10,1,0.189722222222222,prod15,brand3,2015-01-06,12,Tuesday,0,cat5,cpn30,5.42,0
