orderID,orderTime,userID,couponsReceived,basketValue,couponID1,price1,basePrice1,reward1,premiumProduct1,brand1,productGroup1,categoryIDs1,coupon1Used,couponID2,price2,basePrice2,reward2,premiumProduct2,brand2,productGroup2,categoryIDs2,coupon2Used,couponID3,price3,basePrice3,reward3,premiumProduct3,brand3,productGroup3,categoryIDs3,coupon3Used
1,2015-01-06 09:38:35,user1,2015-01-06 09:34:53,187.6,cpn1,3.24,5.4,1.57,0,brand1,prod1,cat1:cat2,0,cpn2,5.19,0.57,1.57,0,brand2,prod2,cat3:cat4,1,cpn3,12.92,12.92,2.2,0,brand3,prod3,cat5:cat4:cat2,0
2,2015-01-06 10:03:19,user2,2015-01-06 10:00:44,185.93,cpn4,2.32,1.59,1.57,0,brand2,prod4,cat5,1,cpn5,3.7,1.85,0.94,0,brand3,prod5,cat6,0,cpn6,3.89,0.06,2.2,0,brand2,prod6,cat6,1
3,2015-01-06 10:08:13,user3,2015-01-06 09:29:16,208.07,cpn7,7.92,2.64,1.26,1,brand4,prod7,cat1:cat7,0,cpn8,4.17,1.39,1.26,1,brand4,prod8,cat3:cat7,0,cpn9,2.73,0.88,1.26,0,brand5,prod9,cat5:cat2,0
4,2015-01-06 13:23:23,user4,2015-01-06 13:13:12,185.8,cpn10,2.5,2.08,1.57,0,brand6,prod10,cat1,1,cpn11,3.66,0.73,1.57,1,brand4,prod11,cat3:cat7:cat4,1,cpn12,5.74,4.25,1.57,0,brand5,prod12,cat5:cat2,0
5,2015-01-06 13:37:22,user5,2015-01-06 12:48:41,272.12,cpn13,12.27,2.45,1.26,0,brand6,prod7,cat1,0,cpn14,5.74,0.88,1.57,1,brand4,prod13,cat3:cat7,0,cpn15,4.91,2.45,1.57,1,brand4,prod14,cat5,0
6,2015-01-06 15:26:36,user6,2015-01-06 15:14:20,126.01,cpn16,7.5,1.25,0.63,0,brand2,prod15,cat8:cat9,1,cpn17,4.35,1.44,1.26,0,brand3,prod16,cat10:cat2,0,cpn18,5.51,1.43,3.14,0,brand3,prod17,cat5,1
7,2015-01-06 15:28:48,user7,2015-01-06 15:07:53,301.43,cpn19,4.68,2.59,1.26,1,brand4,prod7,cat1:cat7,0,cpn20,10,1.33,0.94,0,brand3,prod18,cat5,0,cpn21,3.52,1.76,1.88,0,brand2,prod14,cat5,0
8,2015-01-06 15:29:30,user8,2015-01-06 15:22:37,141.34,cpn22,9.17,2.04,0.94,1,brand4,prod7,cat1:cat7,1,cpn23,4.82,0.6,1.57,0,brand3,prod11,cat3,1,cpn24,6.21,1.24,1.57,1,brand4,prod19,cat5,1
9,2015-01-06 15:36:05,user9,2015-01-06 15:19:12,199.46,cpn25,4.54,4.54,1.26,0,brand3,prod20,cat11:cat12,0,cpn26,3.98,1.99,1.88,0,brand2,prod14,cat5:cat4,0,cpn27,11.86,2.96,1.26,0,brand3,prod21,cat12,0
10,2015-01-06 15:37:35,user10,2015-01-06 15:26:12,95.21,cpn28,7.5,1.25,0.94,0,brand2,prod15,cat8:cat9,1,cpn29,3.06,0.61,1.26,1,brand4,prod22,cat5,0,cpn30,5.42,0,1.26,0,brand3,prod23,cat13,1
11,2015-01-06 15:38:50,user11,2015-01-06 15:16:20,332,cpn31,6.95,6.95,1.57,0,brand5,prod12,cat5:cat2,0,cpn32,7.36,1.47,1.57,0,brand3,prod24,cat5,0,cpn33,5.09,0.73,2.2,0,brand3,prod25,cat13,0
12,2015-01-06 15:39:08,user12,2015-01-06 15:11:08,338.43,cpn22,9.17,2.04,0.94,1,brand4,prod7,cat1:cat7,1,cpn34,3.15,0.9,1.26,0,brand2,prod26,cat3,0,cpn35,5.74,0,1.88,0,brand2,prod27,cat5,0
13,2015-01-06 15:48:19,user13,2015-01-06 15:15:12,263.46,cpn36,5.33,4.44,0.94,0,brand7,prod1,cat1,0,cpn37,7.59,0.84,1.88,0,brand8,prod28,cat3:cat14,0,cpn38,2.69,1.41,1.57,0,brand5,prod29,cat5:cat15:cat2,0
14,2015-01-06 16:03:25,user14,2015-01-06 15:55:49,185.66,cpn39,5.56,4.27,1.57,0,brand3,prod30,cat1,0,cpn40,11.44,1.31,1.88,0,brand2,prod26,cat3,0,cpn41,14.36,2.87,0.94,0,brand3,prod19,cat5,0
15,2015-01-06 16:14:09,user15,2015-01-06 15:36:12,212.7,cpn42,8.43,3.51,1.88,0,brand2,prod31,cat1,0,cpn43,3.75,1.07,0.94,0,brand2,prod8,cat3,0,cpn44,3.43,3.43,1.26,0,brand3,prod32,cat11,0
16,2015-01-06 16:22:46,user16,2015-01-06 15:26:41,243.41,cpn45,10.56,3.52,0.94,0,brand6,prod33,cat1:cat4,0,cpn46,4.58,0.92,1.26,1,brand4,prod11,cat3:cat7,0,cpn47,6.3,1.26,1.57,0,brand3,prod34,cat5,0
17,2015-01-06 16:22:55,user17,2015-01-06 15:10:35,185.84,cpn48,3.66,0,1.57,0,brand6,prod35,cat8:cat4:cat2,0,cpn49,36.58,4.57,1.57,0,brand2,prod36,cat3:cat4:cat2,0,cpn50,17.55,2.19,0.94,0,brand3,prod37,cat5,0
18,2015-01-06 16:23:19,user18,2015-01-06 15:57:56,202.61,cpn51,2.96,1.56,1.57,0,brand2,prod38,cat1,0,cpn52,9.59,1.18,0.94,0,brand3,prod2,cat16:cat3:cat2:cat17,1,cpn53,4.58,3.06,1.57,0,brand5,prod39,cat5:cat18:cat2,0
19,2015-01-06 16:25:43,user19,2015-01-06 15:19:29,204.23,cpn54,9.22,9.22,1.57,0,brand3,prod40,cat1,0,cpn55,4.08,2.04,1.57,0,brand3,prod37,cat5:cat2,1,cpn56,3.66,1.82,1.26,0,brand3,prod37,cat5:cat2,1
20,2015-01-06 16:36:00,user20,2015-01-06 16:01:33,106.42,cpn57,6.67,9.52,1.57,0,brand7,prod40,cat1:cat15,0,cpn58,4.82,1.05,1.57,1,brand4,prod28,cat3:cat7,0,cpn59,7.36,2.95,1.26,0,brand5,prod41,cat5:cat4:cat2,0
21,2015-01-06 16:39:03,user21,2015-01-06 15:16:45,188.11,cpn60,7.22,2.19,1.57,0,brand9,prod42,cat1:cat2,0,cpn61,4.35,1.44,1.26,0,brand8,prod43,cat3:cat14,0,cpn62,4.45,1.48,0.94,0,brand3,prod44,cat16:cat5:cat17,0
