orderID,orderTime,userID,couponsReceived,couponID1,price1,basePrice1,reward1,premiumProduct1,brand1,productGroup1,categoryIDs1,couponID2,price2,basePrice2,reward2,premiumProduct2,brand2,productGroup2,categoryIDs2,couponID3,price3,basePrice3,reward3,premiumProduct3,brand3,productGroup3,categoryIDs3,coupon1Used,coupon2Used,coupon3Used,basketValue,couponsReceivedDate,couponsReceivedTime,couponsReceivedDoW,couponsReceivedWeekend,couponsReceivedFriSat,orderTimeDate,orderTimeTime,orderTimeDoW,orderTimeWeekend,orderTimeFriSat,batchID,couponsExpire,couponsSent,TimeBtwnSentRec,TimeBtwnRecExpire,TimeBtwnRecOrder,TimeBtwnOrderExpire,nCoupon1,nCoupon2,nCoupon3,nCoup1Col1,nCoup1Col2,nCoup1Col3,nCoup2Col1,nCoup2Col2,nCoup2Col3,nCoup3Col1,nCoup3Col2,nCoup3Col3,pCoup1Col1,pCoup1Col2,pCoup1Col3,pCoup2Col1,pCoup2Col2,pCoup2Col3,pCoup3Col1,pCoup3Col2,pCoup3Col3
6054,2015-03-10 08:09:55,user8,2015-03-10 08:03:09,cpn22,9.17,2.04,0.94,1,brand4,prod7,cat1:cat7,cpn23,4.82,0.6,1.57,0,brand3,prod11,cat3,cpn24,6.21,1.24,1.57,1,brand4,prod19,cat5,,,,,2015-03-10,9,Tuesday,0,0,2015-03-10,55,Tuesday,0,0,10,2015-03-17 00:00:01,2015-03-10 00:00:01,8.05222222222222,159.947777777778,0.112777777777778,159.835,153,23,24,150,2,1,0,23,0,0,5,19,0.980392156862745,0.0130718954248366,0.0065359477124183,0,1,0,0,0.208333333333333,0.791666666666667
6055,2015-03-10 10:03:15,user769,2015-03-10 09:07:00,cpn22,9.17,2.04,0.94,1,brand4,prod7,cat1:cat7,cpn585,9.22,2.56,1.57,0,brand3,prod28,cat3,cpn158,2.69,2.69,1.57,1,brand4,prod75,cat5:cat7:cat4,,,,,2015-03-10,0,Tuesday,0,0,2015-03-10,15,Tuesday,0,0,10,2015-03-17 00:00:01,2015-03-10 00:00:01,9.11638888888889,158.883611111111,0.9375,157.946111111111,153,8,44,150,2,1,0,8,0,1,12,31,0.980392156862745,0.0130718954248366,0.0065359477124183,0,1,0,0.0227272727272727,0.272727272727273,0.704545454545455
6056,2015-03-10 10:42:51,user783,2015-03-10 09:51:31,cpn3346,7.83,1.73,0.94,0,brand2,prod51,cat8:cat9,cpn440,5.93,0.98,1.57,0,brand2,prod11,cat3,cpn2245,3.33,2.38,0.63,1,brand4,prod44,cat5:cat7,,,,,2015-03-10,31,Tuesday,0,0,2015-03-10,51,Tuesday,0,0,10,2015-03-17 00:00:01,2015-03-10 00:00:01,9.85833333333333,158.141666666667,0.855555555555556,157.286111111111,1,11,5,1,0,0,0,11,0,0,0,5,1,0,0,0,1,0,0,0,1
6057,2015-03-10 13:02:55,user448,2015-03-10 12:50:56,cpn881,6.39,2.56,1.57,0,brand3,prod51,cat8:cat9,cpn2240,4.35,1.74,1.26,0,brand2,prod26,cat3,cpn597,4.54,1.13,0.94,0,brand11,prod123,cat10:cat5:cat18,,,,,2015-03-10,56,Tuesday,0,0,2015-03-10,55,Tuesday,0,0,10,2015-03-17 00:00:01,2015-03-10 00:00:01,12.8486111111111,155.151388888889,0.199722222222222,154.951666666667,11,2,10,7,2,2,0,2,0,0,5,5,0.636363636363636,0.181818181818182,0.181818181818182,0,1,0,0,0.5,0.5
6058,2015-03-10 13:52:59,user5,2015-03-10 13:12:58,cpn1537,13.34,4.45,1.57,0,brand6,prod1,cat1,cpn14,5.74,0.88,1.57,1,brand4,prod13,cat3:cat7,cpn15,4.91,2.45,1.57,1,brand4,prod14,cat5,,,,,2015-03-10,58,Tuesday,0,0,2015-03-10,59,Tuesday,0,0,10,2015-03-17 00:00:01,2015-03-10 00:00:01,13.2158333333333,154.784166666667,0.666944444444444,154.117222222222,5,26,10,5,0,0,1,25,0,0,3,7,1,0,0,0.0384615384615385,0.961538461538462,0,0,0.3,0.7
6059,2015-03-10 14:55:07,user489,2015-03-10 14:54:14,cpn566,2.73,2.09,1.57,0,brand6,prod38,cat1,cpn447,5.56,1.11,0.63,0,brand2,prod11,cat3,cpn937,5.37,0,1.26,0,brand3,prod52,cat5,,,,,2015-03-10,14,Tuesday,0,0,2015-03-10,7,Tuesday,0,0,10,2015-03-17 00:00:01,2015-03-10 00:00:01,14.9036111111111,153.096388888889,0.0147222222222222,153.081666666667,48,19,25,47,0,1,0,19,0,1,13,11,0.979166666666667,0,0.0208333333333333,0,1,0,0.04,0.52,0.44
6060,2015-03-10 15:14:44,user10,2015-03-10 15:06:35,cpn28,7.5,1.25,0.94,0,brand2,prod15,cat8:cat9,cpn29,3.06,0.61,1.26,1,brand4,prod22,cat5,cpn30,5.42,0,1.26,0,brand3,prod23,cat13,,,,,2015-03-10,35,Tuesday,0,0,2015-03-10,44,Tuesday,0,0,10,2015-03-17 00:00:01,2015-03-10 00:00:01,15.1094444444444,152.890555555556,0.135833333333333,152.754722222222,81,29,7,59,10,12,0,8,21,0,0,7,0.728395061728395,0.123456790123457,0.148148148148148,0,0.275862068965517,0.724137931034483,0,0,1
6061,2015-03-10 15:19:54,user2962,2015-03-10 14:47:03,cpn652,10,166.72,0.94,1,brand4,prod15,cat8:cat7,cpn1156,4.82,7.41,0.94,1,brand4,prod63,cat5:cat7,cpn1925,2.32,0,1.57,0,brand4,prod63,cat5,,,,,2015-03-10,3,Tuesday,0,0,2015-03-10,54,Tuesday,0,0,10,2015-03-17 00:00:01,2015-03-10 00:00:01,14.7838888888889,153.216111111111,0.5475,152.668611111111,32,12,6,28,3,1,2,5,5,0,4,2,0.875,0.09375,0.03125,0.166666666666667,0.416666666666667,0.416666666666667,0,0.666666666666667,0.333333333333333
6062,2015-03-10 15:46:25,user827,2015-03-10 15:40:57,cpn272,15.7,15.7,1.26,0,brand3,prod17,cat5:cat9,cpn1586,6.02,0,1.26,0,brand3,prod63,cat5:cat18:cat9,cpn653,3.33,6.67,1.57,0,brand3,prod63,cat5:cat18,,,,,2015-03-10,57,Tuesday,0,0,2015-03-10,25,Tuesday,0,0,10,2015-03-17 00:00:01,2015-03-10 00:00:01,15.6822222222222,152.317777777778,0.0911111111111111,152.226666666667,44,6,4,7,14,23,0,2,4,0,2,2,0.159090909090909,0.318181818181818,0.522727272727273,0,0.333333333333333,0.666666666666667,0,0.5,0.5
6063,2015-03-10 15:47:25,user151,2015-03-10 15:09:10,cpn1691,23.06,6.98,0.94,0,brand5,prod131,cat1,cpn1181,20.33,0.81,1.57,0,brand3,prod26,cat3,cpn9,2.73,0.88,1.26,0,brand5,prod9,cat5:cat2,,,,,2015-03-10,10,Tuesday,0,0,2015-03-10,25,Tuesday,0,0,10,2015-03-17 00:00:01,2015-03-10 00:00:01,15.1525,152.8475,0.6375,152.21,6,8,14,6,0,0,0,8,0,0,2,12,1,0,0,0,1,0,0,0.142857142857143,0.857142857142857
