orderID,orderTime,userID,couponsReceived,couponID1,price1,basePrice1,reward1,premiumProduct1,brand1,productGroup1,categoryIDs1,couponID2,price2,basePrice2,reward2,premiumProduct2,brand2,productGroup2,categoryIDs2,couponID3,price3,basePrice3,reward3,premiumProduct3,brand3,productGroup3,categoryIDs3,coupon1Used,coupon2Used,coupon3Used,basketValue,couponsReceivedDate,couponsReceivedTime,couponsReceivedDoW,couponsReceivedWeekend,couponsReceivedFriSat,orderTimeDate,orderTimeTime,orderTimeDoW,orderTimeWeekend,orderTimeFriSat,batchID,couponsExpire,couponsSent,TimeBtwnSentRec,TimeBtwnRecExpire,TimeBtwnRecOrder,TimeBtwnOrderExpire
1,2015-01-06 09:38:35,user1,2015-01-06 09:34:53,cpn1,3.24,5.4,1.57,0,brand1,prod1,cat1:cat2,cpn2,5.19,0.57,1.57,0,brand2,prod2,cat3:cat4,cpn3,12.92,12.92,2.2,0,brand3,prod3,cat5:cat4:cat2,0,1,0,187.6,2015-01-06,53,Tuesday,0,0,2015-01-06,35,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,9.58111111111111,158.418888888889,0.0616666666666667,158.357222222222
2,2015-01-06 10:03:19,user2,2015-01-06 10:00:44,cpn4,2.32,1.59,1.57,0,brand2,prod4,cat5,cpn5,3.7,1.85,0.94,0,brand3,prod5,cat6,cpn6,3.89,0.06,2.2,0,brand2,prod6,cat6,1,0,1,185.93,2015-01-06,44,Tuesday,0,0,2015-01-06,19,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,10.0119444444444,157.988055555556,0.0430555555555556,157.945
3,2015-01-06 10:08:13,user3,2015-01-06 09:29:16,cpn7,7.92,2.64,1.26,1,brand4,prod7,cat1:cat7,cpn8,4.17,1.39,1.26,1,brand4,prod8,cat3:cat7,cpn9,2.73,0.88,1.26,0,brand5,prod9,cat5:cat2,0,0,0,208.07,2015-01-06,16,Tuesday,0,0,2015-01-06,13,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,9.4875,158.5125,0.649166666666667,157.863333333333
4,2015-01-06 13:23:23,user4,2015-01-06 13:13:12,cpn10,2.5,2.08,1.57,0,brand6,prod10,cat1,cpn11,3.66,0.73,1.57,1,brand4,prod11,cat3:cat7:cat4,cpn12,5.74,4.25,1.57,0,brand5,prod12,cat5:cat2,1,1,0,185.8,2015-01-06,12,Tuesday,0,0,2015-01-06,23,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,13.2197222222222,154.780277777778,0.169722222222222,154.610555555556
5,2015-01-06 13:37:22,user5,2015-01-06 12:48:41,cpn13,12.27,2.45,1.26,0,brand6,prod7,cat1,cpn14,5.74,0.88,1.57,1,brand4,prod13,cat3:cat7,cpn15,4.91,2.45,1.57,1,brand4,prod14,cat5,0,0,0,272.12,2015-01-06,41,Tuesday,0,0,2015-01-06,22,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,12.8111111111111,155.188888888889,0.811388888888889,154.3775
6,2015-01-06 15:26:36,user6,2015-01-06 15:14:20,cpn16,7.5,1.25,0.63,0,brand2,prod15,cat8:cat9,cpn17,4.35,1.44,1.26,0,brand3,prod16,cat10:cat2,cpn18,5.51,1.43,3.14,0,brand3,prod17,cat5,1,0,1,126.01,2015-01-06,20,Tuesday,0,0,2015-01-06,36,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.2386111111111,152.761388888889,0.204444444444444,152.556944444444
7,2015-01-06 15:28:48,user7,2015-01-06 15:07:53,cpn19,4.68,2.59,1.26,1,brand4,prod7,cat1:cat7,cpn20,10,1.33,0.94,0,brand3,prod18,cat5,cpn21,3.52,1.76,1.88,0,brand2,prod14,cat5,0,0,0,301.43,2015-01-06,53,Tuesday,0,0,2015-01-06,48,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.1311111111111,152.868888888889,0.348611111111111,152.520277777778
8,2015-01-06 15:29:30,user8,2015-01-06 15:22:37,cpn22,9.17,2.04,0.94,1,brand4,prod7,cat1:cat7,cpn23,4.82,0.6,1.57,0,brand3,prod11,cat3,cpn24,6.21,1.24,1.57,1,brand4,prod19,cat5,1,1,1,141.34,2015-01-06,37,Tuesday,0,0,2015-01-06,30,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.3766666666667,152.623333333333,0.114722222222222,152.508611111111
9,2015-01-06 15:36:05,user9,2015-01-06 15:19:12,cpn25,4.54,4.54,1.26,0,brand3,prod20,cat11:cat12,cpn26,3.98,1.99,1.88,0,brand2,prod14,cat5:cat4,cpn27,11.86,2.96,1.26,0,brand3,prod21,cat12,0,0,0,199.46,2015-01-06,12,Tuesday,0,0,2015-01-06,5,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.3197222222222,152.680277777778,0.281388888888889,152.398888888889
10,2015-01-06 15:37:35,user10,2015-01-06 15:26:12,cpn28,7.5,1.25,0.94,0,brand2,prod15,cat8:cat9,cpn29,3.06,0.61,1.26,1,brand4,prod22,cat5,cpn30,5.42,0,1.26,0,brand3,prod23,cat13,1,0,1,95.21,2015-01-06,12,Tuesday,0,0,2015-01-06,35,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.4363888888889,152.563611111111,0.189722222222222,152.373888888889
