orderID,orderTime,userID,couponsReceived,basketValue,couponID,price,basePrice,reward,premiumProduct,brand,productGroup,categoryIDs,couponUsed,couponCol
1,2015-01-06 09:38:35,user1,2015-01-06 09:34:53,187.6,cpn1,3.24,5.4,1.57,0,brand1,prod1,cat1:cat2,0,1
1,2015-01-06 09:38:35,user1,2015-01-06 09:34:53,187.6,cpn2,5.19,0.57,1.57,0,brand2,prod2,cat3:cat4,1,2
1,2015-01-06 09:38:35,user1,2015-01-06 09:34:53,187.6,cpn3,12.92,12.92,2.2,0,brand3,prod3,cat5:cat4:cat2,0,3
2,2015-01-06 10:03:19,user2,2015-01-06 10:00:44,185.93,cpn4,2.32,1.59,1.57,0,brand2,prod4,cat5,1,1
2,2015-01-06 10:03:19,user2,2015-01-06 10:00:44,185.93,cpn5,3.7,1.85,0.94,0,brand3,prod5,cat6,0,2
2,2015-01-06 10:03:19,user2,2015-01-06 10:00:44,185.93,cpn6,3.89,0.06,2.2,0,brand2,prod6,cat6,1,3
3,2015-01-06 10:08:13,user3,2015-01-06 09:29:16,208.07,cpn7,7.92,2.64,1.26,1,brand4,prod7,cat1:cat7,0,1
3,2015-01-06 10:08:13,user3,2015-01-06 09:29:16,208.07,cpn8,4.17,1.39,1.26,1,brand4,prod8,cat3:cat7,0,2
3,2015-01-06 10:08:13,user3,2015-01-06 09:29:16,208.07,cpn9,2.73,0.88,1.26,0,brand5,prod9,cat5:cat2,0,3
4,2015-01-06 13:23:23,user4,2015-01-06 13:13:12,185.8,cpn10,2.5,2.08,1.57,0,brand6,prod10,cat1,1,1
4,2015-01-06 13:23:23,user4,2015-01-06 13:13:12,185.8,cpn11,3.66,0.73,1.57,1,brand4,prod11,cat3:cat7:cat4,1,2
4,2015-01-06 13:23:23,user4,2015-01-06 13:13:12,185.8,cpn12,5.74,4.25,1.57,0,brand5,prod12,cat5:cat2,0,3
5,2015-01-06 13:37:22,user5,2015-01-06 12:48:41,272.12,cpn13,12.27,2.45,1.26,0,brand6,prod7,cat1,0,1
5,2015-01-06 13:37:22,user5,2015-01-06 12:48:41,272.12,cpn14,5.74,0.88,1.57,1,brand4,prod13,cat3:cat7,0,2
5,2015-01-06 13:37:22,user5,2015-01-06 12:48:41,272.12,cpn15,4.91,2.45,1.57,1,brand4,prod14,cat5,0,3
6,2015-01-06 15:26:36,user6,2015-01-06 15:14:20,126.01,cpn16,7.5,1.25,0.63,0,brand2,prod15,cat8:cat9,1,1
6,2015-01-06 15:26:36,user6,2015-01-06 15:14:20,126.01,cpn17,4.35,1.44,1.26,0,brand3,prod16,cat10:cat2,0,2
6,2015-01-06 15:26:36,user6,2015-01-06 15:14:20,126.01,cpn18,5.51,1.43,3.14,0,brand3,prod17,cat5,1,3
7,2015-01-06 15:28:48,user7,2015-01-06 15:07:53,301.43,cpn19,4.68,2.59,1.26,1,brand4,prod7,cat1:cat7,0,1
7,2015-01-06 15:28:48,user7,2015-01-06 15:07:53,301.43,cpn20,10,1.33,0.94,0,brand3,prod18,cat5,0,2
7,2015-01-06 15:28:48,user7,2015-01-06 15:07:53,301.43,cpn21,3.52,1.76,1.88,0,brand2,prod14,cat5,0,3
8,2015-01-06 15:29:30,user8,2015-01-06 15:22:37,141.34,cpn22,9.17,2.04,0.94,1,brand4,prod7,cat1:cat7,1,1
8,2015-01-06 15:29:30,user8,2015-01-06 15:22:37,141.34,cpn23,4.82,0.6,1.57,0,brand3,prod11,cat3,1,2
8,2015-01-06 15:29:30,user8,2015-01-06 15:22:37,141.34,cpn24,6.21,1.24,1.57,1,brand4,prod19,cat5,1,3
9,2015-01-06 15:36:05,user9,2015-01-06 15:19:12,199.46,cpn25,4.54,4.54,1.26,0,brand3,prod20,cat11:cat12,0,1
9,2015-01-06 15:36:05,user9,2015-01-06 15:19:12,199.46,cpn26,3.98,1.99,1.88,0,brand2,prod14,cat5:cat4,0,2
9,2015-01-06 15:36:05,user9,2015-01-06 15:19:12,199.46,cpn27,11.86,2.96,1.26,0,brand3,prod21,cat12,0,3
