orderID,couponsReceivedDate,couponsReceivedTime,couponsReceivedDoW,couponsReceivedWeekend,couponsReceivedFriSat,orderTimeDate,orderTimeTime,orderTimeDoW,orderTimeWeekend,orderTimeFriSat,batchID,couponsExpire,couponsSent,TimeBtwnSentRec,TimeBtwnRecExpire,TimeBtwnRecOrder,TimeBtwnOrderExpire
1,2015-01-06,9H 34M 53S,Tuesday,0,0,2015-01-06,9H 38M 35S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,9.58111111111111,158.418888888889,0.0616666666666667,158.357222222222
2,2015-01-06,10H 0M 44S,Tuesday,0,0,2015-01-06,10H 3M 19S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,10.0119444444444,157.988055555556,0.0430555555555556,157.945
3,2015-01-06,9H 29M 16S,Tuesday,0,0,2015-01-06,10H 8M 13S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,9.4875,158.5125,0.649166666666667,157.863333333333
4,2015-01-06,13H 13M 12S,Tuesday,0,0,2015-01-06,13H 23M 23S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,13.2197222222222,154.780277777778,0.169722222222222,154.610555555556
5,2015-01-06,12H 48M 41S,Tuesday,0,0,2015-01-06,13H 37M 22S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,12.8111111111111,155.188888888889,0.811388888888889,154.3775
6,2015-01-06,15H 14M 20S,Tuesday,0,0,2015-01-06,15H 26M 36S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.2386111111111,152.761388888889,0.204444444444444,152.556944444444
7,2015-01-06,15H 7M 53S,Tuesday,0,0,2015-01-06,15H 28M 48S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.1311111111111,152.868888888889,0.348611111111111,152.520277777778
8,2015-01-06,15H 22M 37S,Tuesday,0,0,2015-01-06,15H 29M 30S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.3766666666667,152.623333333333,0.114722222222222,152.508611111111
9,2015-01-06,15H 19M 12S,Tuesday,0,0,2015-01-06,15H 36M 5S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.3197222222222,152.680277777778,0.281388888888889,152.398888888889
10,2015-01-06,15H 26M 12S,Tuesday,0,0,2015-01-06,15H 37M 35S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.4363888888889,152.563611111111,0.189722222222222,152.373888888889
11,2015-01-06,15H 16M 20S,Tuesday,0,0,2015-01-06,15H 38M 50S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.2719444444444,152.728055555556,0.375,152.353055555556
12,2015-01-06,15H 11M 8S,Tuesday,0,0,2015-01-06,15H 39M 8S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.1852777777778,152.814722222222,0.466666666666667,152.348055555556
