orderID,nCoupon1Used,nCoupon2Used,nCoupon3Used,pCoupon1Used,pCoupon2Used,pCoupon3Used,nCoup1Col1Used,nCoup1Col2Used,nCoup1Col3Used,nCoup2Col1Used,nCoup2Col2Used,nCoup2Col3Used,nCoup3Col1Used,nCoup3Col2Used,nCoup3Col3Used,pCoup1Col1Used,pCoup1Col2Used,pCoup1Col3Used,pCoup2Col1Used,pCoup2Col2Used,pCoup2Col3Used,pCoup3Col1Used,pCoup3Col2Used,pCoup3Col3Used
1,3,3,9,0.214285714285714,0.6,0.105882352941176,3,0,0,0,3,0,1,1,7,1,0,0,0,1,0,0.111111111111111,0.111111111111111,0.777777777777778
2,1,0,1,0.5,0,1,1,0,0,0,0,0,0,0,1,1,0,0,,,,0,0,1
3,7,10,2,0.148936170212766,0.204081632653061,0.153846153846154,7,0,0,0,10,0,0,1,1,1,0,0,0,1,0,0,0.5,0.5
4,7,11,1,0.333333333333333,0.150684931506849,0.166666666666667,7,0,0,0,11,0,0,1,0,1,0,0,0,1,0,0,1,0
5,5,0,2,0.15625,0,0.25,5,0,0,0,0,0,0,0,2,1,0,0,,,,0,0,1
6,11,1,1,0.366666666666667,0.111111111111111,0.333333333333333,11,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
7,1,3,1,0.0625,0.230769230769231,0.0714285714285714,1,0,0,0,0,3,0,0,1,1,0,0,0,0,1,0,0,1
8,44,3,2,0.321167883211679,0.157894736842105,0.1,43,0,1,0,3,0,0,0,2,0.977272727272727,0,0.0227272727272727,0,1,0,0,0,1
9,2,0,0,0.25,0,0,2,0,0,0,0,0,0,0,0,1,0,0,,,,,,
10,49,3,3,0.628205128205128,0.12,0.5,34,8,7,0,1,2,0,0,3,0.693877551020408,0.163265306122449,0.142857142857143,0,0.333333333333333,0.666666666666667,0,0,1
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
12,44,0,1,0.321167883211679,0,0.25,43,0,1,0,0,0,0,1,0,0.977272727272727,0,0.0227272727272727,,,,0,1,0
13,5,0,3,0.3125,0,0.107142857142857,3,1,1,0,0,0,0,0,3,0.6,0.2,0.2,,,,0,0,1
14,3,8,5,0.1875,0.242424242424242,0.5,3,0,0,0,7,1,0,1,4,1,0,0,0,0.875,0.125,0,0.2,0.8
15,10,1,2,0.263157894736842,0.0588235294117647,0.333333333333333,10,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,1,0
16,8,0,0,0.2,0,0,8,0,0,0,0,0,0,0,0,1,0,0,,,,,,
17,7,0,0,0.291666666666667,0,0,5,2,0,0,0,0,0,0,0,0.714285714285714,0.285714285714286,0,,,,,,
18,3,4,1,0.214285714285714,0.285714285714286,0.0625,3,0,0,0,4,0,0,0,1,1,0,0,0,1,0,0,0,1
19,1,1,2,0.0588235294117647,0.166666666666667,0.25,1,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,1
