orderID,nCoupon1,nCoupon2,nCoupon3,nCoup1Col1,nCoup1Col2,nCoup1Col3,nCoup2Col1,nCoup2Col2,nCoup2Col3,nCoup3Col1,nCoup3Col2,nCoup3Col3,pCoup1Col1,pCoup1Col2,pCoup1Col3,pCoup2Col1,pCoup2Col2,pCoup2Col3,pCoup3Col1,pCoup3Col2,pCoup3Col3,nCoup1Batch,nCoup2Batch,nCoup3Batch,firstTimeCoup1Rec,firstTimeCoup2Rec,firstTimeCoup3Rec
6054,153,23,24,150,2,1,0,23,0,0,5,19,0.980392156862745,0.0130718954248366,0.0065359477124183,0,1,0,0,0.208333333333333,0.791666666666667,16,4,4,2015-01-06 15:05:40,2015-01-06 15:22:37,2015-01-06 15:22:37
6055,153,8,44,150,2,1,0,8,0,1,12,31,0.980392156862745,0.0130718954248366,0.0065359477124183,0,1,0,0.0227272727272727,0.272727272727273,0.704545454545455,16,2,8,2015-01-06 15:05:40,2015-01-06 16:11:58,2015-01-06 19:10:25
6056,1,11,5,1,0,0,0,11,0,0,0,5,1,0,0,0,1,0,0,0,1,1,2,1,2015-03-10 09:51:31,2015-01-06 15:40:35,2015-01-28 14:50:32
6057,11,2,10,7,2,2,0,2,0,0,5,5,0.636363636363636,0.181818181818182,0.181818181818182,0,1,0,0,0.5,0.5,2,1,2,2015-01-08 00:50:26,2015-01-30 19:29:07,2015-01-06 18:52:36
6058,5,26,10,5,0,0,1,25,0,0,3,7,1,0,0,0.0384615384615385,0.961538461538462,0,0,0.3,0.7,2,2,2,2015-01-15 19:49:38,2015-01-06 12:48:41,2015-01-06 12:48:41
6059,48,19,25,47,0,1,0,19,0,1,13,11,0.979166666666667,0,0.0208333333333333,0,1,0,0.04,0.52,0.44,6,4,3,2015-01-06 18:09:31,2015-01-06 16:04:04,2015-01-06 20:40:38
6060,81,29,7,59,10,12,0,8,21,0,0,7,0.728395061728395,0.123456790123457,0.148148148148148,0,0.275862068965517,0.724137931034483,0,0,1,3,4,1,2015-01-06 15:26:12,2015-01-06 15:26:12,2015-01-06 15:26:12
6061,32,12,6,28,3,1,2,5,5,0,4,2,0.875,0.09375,0.03125,0.166666666666667,0.416666666666667,0.416666666666667,0,0.666666666666667,0.333333333333333,7,4,2,2015-01-08 10:33:33,2015-01-06 18:51:35,2015-01-23 20:46:12
6062,44,6,4,7,14,23,0,2,4,0,2,2,0.159090909090909,0.318181818181818,0.522727272727273,0,0.333333333333333,0.666666666666667,0,0.5,0.5,5,2,1,2015-01-06 16:22:42,2015-01-15 09:30:49,2015-01-08 10:33:33
6063,6,8,14,6,0,0,0,8,0,0,2,12,1,0,0,0,1,0,0,0.142857142857143,0.857142857142857,1,2,1,2015-01-18 17:42:24,2015-01-09 18:46:31,2015-01-06 09:29:16
6064,6,4,4,6,0,0,0,1,3,1,0,3,1,0,0,0,0.25,0.75,0.25,0,0.75,2,1,1,2015-01-14 03:37:16,2015-01-06 15:14:20,2015-01-27 15:10:49
6065,7,12,19,7,0,0,0,12,0,7,3,9,1,0,0,0,1,0,0.368421052631579,0.157894736842105,0.473684210526316,1,2,3,2015-01-06 22:06:00,2015-01-06 18:12:39,2015-01-06 19:41:28
6066,17,24,48,17,0,0,0,24,0,2,12,34,1,0,0,0,1,0,0.0416666666666667,0.25,0.708333333333333,6,5,7,2015-01-06 15:08:13,2015-01-06 16:22:07,2015-01-06 15:30:43
6067,40,41,3,39,1,0,1,40,0,0,1,2,0.975,0.025,0,0.024390243902439,0.975609756097561,0,0,0.333333333333333,0.666666666666667,4,3,1,2015-01-09 14:55:53,2015-01-07 08:27:09,2015-01-06 16:38:07
6068,1,40,40,1,0,0,39,1,0,0,38,2,1,0,0,0.975,0.025,0,0,0.95,0.05,1,4,6,2015-03-10 15:30:17,2015-01-09 14:55:53,2015-01-06 15:30:43
