orderID,nCoupon1,nCoupon2,nCoupon3,nCoup1Col1,nCoup1Col2,nCoup1Col3,nCoup2Col1,nCoup2Col2,nCoup2Col3,nCoup3Col1,nCoup3Col2,nCoup3Col3,pCoup1Col1,pCoup1Col2,pCoup1Col3,pCoup2Col1,pCoup2Col2,pCoup2Col3,pCoup3Col1,pCoup3Col2,pCoup3Col3,nCoup1Batch,nCoup2Batch,nCoup3Batch,firstTimeCoup1Rec,firstTimeCoup2Rec,firstTimeCoup3Rec
1,15,6,96,15,0,0,0,6,0,12,17,67,1,0,0,0,1,0,0.125,0.177083333333333,0.697916666666667,3,2,18,2015-01-06 09:34:53,2015-01-06 09:34:53,2015-01-06 09:34:53
2,2,1,1,2,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,2015-01-06 10:00:44,2015-01-06 10:00:44,2015-01-06 10:00:44
3,53,54,14,53,0,0,0,54,0,0,2,12,1,0,0,0,1,0,0,0.142857142857143,0.857142857142857,5,9,4,2015-01-06 09:29:16,2015-01-06 09:29:16,2015-01-06 09:29:16
4,22,81,6,21,0,1,0,81,0,0,2,4,0.954545454545455,0,0.0454545454545455,0,1,0,0,0.333333333333333,0.666666666666667,3,14,1,2015-01-06 13:13:12,2015-01-06 13:13:12,2015-01-06 13:13:12
5,34,26,10,34,0,0,1,25,0,0,3,7,1,0,0,0.0384615384615385,0.961538461538462,0,0,0.3,0.7,4,5,4,2015-01-06 12:48:41,2015-01-06 12:48:41,2015-01-06 12:48:41
6,32,9,4,25,5,2,1,8,0,0,1,3,0.78125,0.15625,0.0625,0.111111111111111,0.888888888888889,0,0,0.25,0.75,10,3,2,2015-01-06 15:14:20,2015-01-06 15:14:20,2015-01-06 15:14:20
7,19,13,14,19,0,0,0,3,10,0,0,14,1,0,0,0,0.230769230769231,0.769230769230769,0,0,1,4,2,2,2015-01-06 15:07:53,2015-01-06 15:07:53,2015-01-06 15:07:53
8,153,23,24,150,2,1,0,23,0,0,5,19,0.980392156862745,0.0130718954248366,0.0065359477124183,0,1,0,0,0.208333333333333,0.791666666666667,25,1,1,2015-01-06 15:05:40,2015-01-06 15:22:37,2015-01-06 15:22:37
9,8,10,2,6,1,1,1,4,5,0,0,2,0.75,0.125,0.125,0.1,0.4,0.5,0,0,1,3,2,1,2015-01-06 15:19:12,2015-01-06 15:06:34,2015-01-06 15:19:12
10,81,29,7,59,10,12,0,8,21,0,0,7,0.728395061728395,0.123456790123457,0.148148148148148,0,0.275862068965517,0.724137931034483,0,0,1,10,5,1,2015-01-06 15:26:12,2015-01-06 15:26:12,2015-01-06 15:26:12
