orderID,batchID,couponsSent,couponsExpire
1,1,2015-01-06,2016-01-06
2,1,2015-01-06,2016-01-06
3,1,2015-01-06,2016-01-06
4,1,2015-01-06,2016-01-06
5,1,2015-01-06,2016-01-06
6,1,2015-01-06,2016-01-06
7,1,2015-01-06,2016-01-06
8,1,2015-01-06,2016-01-06
9,1,2015-01-06,2016-01-06
10,1,2015-01-06,2016-01-06
11,1,2015-01-06,2016-01-06
12,1,2015-01-06,2016-01-06
13,1,2015-01-06,2016-01-06
14,1,2015-01-06,2016-01-06
15,1,2015-01-06,2016-01-06
16,1,2015-01-06,2016-01-06
17,1,2015-01-06,2016-01-06
18,1,2015-01-06,2016-01-06
19,1,2015-01-06,2016-01-06
20,1,2015-01-06,2016-01-06
21,1,2015-01-06,2016-01-06
22,1,2015-01-06,2016-01-06
23,1,2015-01-06,2016-01-06
24,1,2015-01-06,2016-01-06
25,1,2015-01-06,2016-01-06
26,1,2015-01-06,2016-01-06
27,1,2015-01-06,2016-01-06
28,1,2015-01-06,2016-01-06
29,1,2015-01-06,2016-01-06
30,1,2015-01-06,2016-01-06
31,1,2015-01-06,2016-01-06
32,1,2015-01-06,2016-01-06
33,1,2015-01-06,2016-01-06
34,1,2015-01-06,2016-01-06
35,1,2015-01-06,2016-01-06
36,1,2015-01-06,2016-01-06
37,1,2015-01-06,2016-01-06
38,1,2015-01-06,2016-01-06
39,1,2015-01-06,2016-01-06
40,1,2015-01-06,2016-01-06
41,1,2015-01-06,2016-01-06
42,1,2015-01-06,2016-01-06
43,1,2015-01-06,2016-01-06
44,1,2015-01-06,2016-01-06
45,1,2015-01-06,2016-01-06
46,1,2015-01-06,2016-01-06
47,1,2015-01-06,2016-01-06
48,1,2015-01-06,2016-01-06
49,1,2015-01-06,2016-01-06
50,1,2015-01-06,2016-01-06
51,1,2015-01-06,2016-01-06
52,1,2015-01-06,2016-01-06
53,1,2015-01-06,2016-01-06
54,1,2015-01-06,2016-01-06
55,1,2015-01-06,2016-01-06
56,1,2015-01-06,2016-01-06
57,1,2015-01-06,2016-01-06
58,1,2015-01-06,2016-01-06
59,1,2015-01-06,2016-01-06
60,1,2015-01-06,2016-01-06
61,1,2015-01-06,2016-01-06
62,1,2015-01-06,2016-01-06
63,1,2015-01-06,2016-01-06
64,1,2015-01-06,2016-01-06
65,1,2015-01-06,2016-01-06
66,1,2015-01-06,2016-01-06
67,1,2015-01-06,2016-01-06
68,1,2015-01-06,2016-01-06
69,1,2015-01-06,2016-01-06
70,1,2015-01-06,2016-01-06
71,1,2015-01-06,2016-01-06
72,1,2015-01-06,2016-01-06
73,1,2015-01-06,2016-01-06
74,1,2015-01-06,2016-01-06
75,1,2015-01-06,2016-01-06
76,1,2015-01-06,2016-01-06
77,1,2015-01-06,2016-01-06
78,1,2015-01-06,2016-01-06
79,1,2015-01-06,2016-01-06
80,1,2015-01-06,2016-01-06
81,1,2015-01-06,2016-01-06
82,1,2015-01-06,2016-01-06
83,1,2015-01-06,2016-01-06
84,1,2015-01-06,2016-01-06
85,1,2015-01-06,2016-01-06
86,1,2015-01-06,2016-01-06
87,1,2015-01-06,2016-01-06
88,1,2015-01-06,2016-01-06
89,1,2015-01-06,2016-01-06
90,1,2015-01-06,2016-01-06
91,1,2015-01-06,2016-01-06
92,1,2015-01-06,2016-01-06
93,1,2015-01-06,2016-01-06
94,1,2015-01-06,2016-01-06
95,1,2015-01-06,2016-01-06
96,1,2015-01-06,2016-01-06
97,1,2015-01-06,2016-01-06
98,1,2015-01-06,2016-01-06
99,1,2015-01-06,2016-01-06
100,1,2015-01-06,2016-01-06
101,1,2015-01-06,2016-01-06
102,1,2015-01-06,2016-01-06
103,1,2015-01-06,2016-01-06
104,1,2015-01-06,2016-01-06
105,1,2015-01-06,2016-01-06
106,1,2015-01-06,2016-01-06
107,1,2015-01-06,2016-01-06
108,1,2015-01-06,2016-01-06
109,1,2015-01-06,2016-01-06
110,1,2015-01-06,2016-01-06
111,1,2015-01-06,2016-01-06
112,1,2015-01-06,2016-01-06
113,1,2015-01-06,2016-01-06
114,1,2015-01-06,2016-01-06
115,1,2015-01-06,2016-01-06
116,1,2015-01-06,2016-01-06
117,1,2015-01-06,2016-01-06
118,1,2015-01-06,2016-01-06
119,1,2015-01-06,2016-01-06
120,1,2015-01-06,2016-01-06
121,1,2015-01-06,2016-01-06
122,1,2015-01-06,2016-01-06
123,1,2015-01-06,2016-01-06
124,1,2015-01-06,2016-01-06
125,1,2015-01-06,2016-01-06
126,1,2015-01-06,2016-01-06
127,1,2015-01-06,2016-01-06
128,1,2015-01-06,2016-01-06
129,1,2015-01-06,2016-01-06
130,1,2015-01-06,2016-01-06
131,1,2015-01-06,2016-01-06
132,1,2015-01-06,2016-01-06
133,1,2015-01-06,2016-01-06
134,1,2015-01-06,2016-01-06
135,1,2015-01-06,2016-01-06
136,1,2015-01-06,2016-01-06
137,1,2015-01-06,2016-01-06
138,1,2015-01-06,2016-01-06
139,1,2015-01-06,2016-01-06
140,1,2015-01-06,2016-01-06
141,1,2015-01-06,2016-01-06
142,1,2015-01-06,2016-01-06
143,1,2015-01-06,2016-01-06
144,1,2015-01-06,2016-01-06
145,1,2015-01-06,2016-01-06
146,1,2015-01-06,2016-01-06
147,1,2015-01-06,2016-01-06
148,1,2015-01-06,2016-01-06
149,1,2015-01-06,2016-01-06
150,1,2015-01-06,2016-01-06
151,1,2015-01-06,2016-01-06
152,1,2015-01-06,2016-01-06
153,1,2015-01-06,2016-01-06
154,1,2015-01-06,2016-01-06
155,1,2015-01-06,2016-01-06
156,1,2015-01-06,2016-01-06
157,1,2015-01-06,2016-01-06
158,1,2015-01-06,2016-01-06
159,1,2015-01-06,2016-01-06
160,1,2015-01-06,2016-01-06
161,1,2015-01-06,2016-01-06
162,1,2015-01-06,2016-01-06
163,1,2015-01-06,2016-01-06
164,1,2015-01-06,2016-01-06
165,1,2015-01-06,2016-01-06
166,1,2015-01-06,2016-01-06
167,1,2015-01-06,2016-01-06
168,1,2015-01-06,2016-01-06
169,1,2015-01-06,2016-01-06
170,1,2015-01-06,2016-01-06
171,1,2015-01-06,2016-01-06
172,1,2015-01-06,2016-01-06
173,1,2015-01-06,2016-01-06
174,1,2015-01-06,2016-01-06
175,1,2015-01-06,2016-01-06
176,1,2015-01-06,2016-01-06
177,1,2015-01-06,2016-01-06
178,1,2015-01-06,2016-01-06
179,1,2015-01-06,2016-01-06
180,1,2015-01-06,2016-01-06
181,1,2015-01-06,2016-01-06
182,1,2015-01-06,2016-01-06
183,1,2015-01-06,2016-01-06
184,1,2015-01-06,2016-01-06
185,1,2015-01-06,2016-01-06
186,1,2015-01-06,2016-01-06
187,1,2015-01-06,2016-01-06
188,1,2015-01-06,2016-01-06
189,1,2015-01-06,2016-01-06
190,1,2015-01-06,2016-01-06
191,1,2015-01-06,2016-01-06
192,1,2015-01-06,2016-01-06
193,1,2015-01-06,2016-01-06
194,1,2015-01-06,2016-01-06
195,1,2015-01-06,2016-01-06
196,1,2015-01-06,2016-01-06
197,1,2015-01-06,2016-01-06
198,1,2015-01-06,2016-01-06
199,1,2015-01-06,2016-01-06
200,1,2015-01-06,2016-01-06
201,1,2015-01-06,2016-01-06
202,1,2015-01-06,2016-01-06
203,1,2015-01-06,2016-01-06
204,1,2015-01-06,2016-01-06
205,1,2015-01-06,2016-01-06
206,1,2015-01-06,2016-01-06
207,1,2015-01-06,2016-01-06
208,1,2015-01-06,2016-01-06
209,1,2015-01-06,2016-01-06
210,1,2015-01-06,2016-01-06
211,1,2015-01-06,2016-01-06
212,1,2015-01-06,2016-01-06
213,1,2015-01-06,2016-01-06
214,1,2015-01-06,2016-01-06
215,1,2015-01-06,2016-01-06
216,1,2015-01-06,2016-01-06
217,1,2015-01-06,2016-01-06
218,1,2015-01-06,2016-01-06
219,1,2015-01-06,2016-01-06
220,1,2015-01-06,2016-01-06
221,1,2015-01-06,2016-01-06
222,1,2015-01-06,2016-01-06
223,1,2015-01-06,2016-01-06
224,1,2015-01-06,2016-01-06
225,1,2015-01-06,2016-01-06
226,1,2015-01-06,2016-01-06
227,1,2015-01-06,2016-01-06
228,1,2015-01-06,2016-01-06
229,1,2015-01-06,2016-01-06
230,1,2015-01-06,2016-01-06
231,1,2015-01-06,2016-01-06
232,1,2015-01-06,2016-01-06
233,1,2015-01-06,2016-01-06
234,1,2015-01-06,2016-01-06
235,1,2015-01-06,2016-01-06
236,1,2015-01-06,2016-01-06
237,1,2015-01-06,2016-01-06
238,1,2015-01-06,2016-01-06
239,1,2015-01-06,2016-01-06
240,1,2015-01-06,2016-01-06
241,1,2015-01-06,2016-01-06
242,1,2015-01-06,2016-01-06
243,1,2015-01-06,2016-01-06
244,1,2015-01-06,2016-01-06
245,1,2015-01-06,2016-01-06
246,1,2015-01-06,2016-01-06
247,1,2015-01-06,2016-01-06
248,1,2015-01-06,2016-01-06
249,1,2015-01-06,2016-01-06
250,1,2015-01-06,2016-01-06
251,1,2015-01-06,2016-01-06
252,1,2015-01-06,2016-01-06
253,1,2015-01-06,2016-01-06
254,1,2015-01-06,2016-01-06
255,1,2015-01-06,2016-01-06
256,1,2015-01-06,2016-01-06
257,1,2015-01-06,2016-01-06
258,1,2015-01-06,2016-01-06
259,1,2015-01-06,2016-01-06
260,1,2015-01-06,2016-01-06
261,1,2015-01-06,2016-01-06
262,1,2015-01-06,2016-01-06
263,1,2015-01-06,2016-01-06
264,1,2015-01-06,2016-01-06
265,1,2015-01-06,2016-01-06
266,1,2015-01-06,2016-01-06
267,1,2015-01-06,2016-01-06
268,1,2015-01-06,2016-01-06
269,1,2015-01-06,2016-01-06
270,1,2015-01-06,2016-01-06
271,1,2015-01-06,2016-01-06
272,1,2015-01-06,2016-01-06
273,1,2015-01-06,2016-01-06
274,1,2015-01-06,2016-01-06
275,1,2015-01-06,2016-01-06
276,1,2015-01-06,2016-01-06
277,1,2015-01-06,2016-01-06
