"orderID","userID","userID_fac","order_num_times","order_total_times","basket_value","ave_basket_value","med_basket_value","basket_value_over500","num_couponUsed_perorder","num_order_couponUsed_peruser","total_num_couponUsed","total_num_coupon1Used","total_num_coupon2Used","total_num_coupon3Used"
1,"f77fdea046ce0a40eb30ac35dde882cd",2872,1,9,187.6,253.46,216.41,0,1,2,2,1,1,0
2,"49fb109b47d0cee1753b63c24574d9d5",882,1,3,185.93,186.626666666667,186.95,0,2,2,3,2,0,1
3,"b767e0e5cda30fc2e7c39f8049eebb5a",2160,1,5,208.07,338.498,347,0,0,2,3,2,1,0
4,"cae358d7b2d59aafe8e41e70b363a198",2370,1,5,185.8,205.468,186.07,0,2,5,12,5,4,3
5,"9ddbc3f477d31b609f962555d72503ad",1860,1,9,272.12,337.631111111111,345.1,0,0,5,6,1,4,1
6,"1c8dc3fa9ef6d8734fa26e5af8be0b0b",350,1,10,126.01,131.263,128,0,2,5,9,3,4,2
7,"8cdec5c60ac4348bfa4241919c942188",1664,1,6,301.43,259.606666666667,261.355,0,0,4,4,0,1,3
8,"8877a81d04e853bc31c50da2bd2afaff",1596,1,7,141.34,151.454285714286,144.95,0,3,4,10,4,2,4
9,"8b27c2bbf8acae8915597f3acd2cb94d",1636,1,1,199.46,199.46,199.46,0,0,0,0,0,0,0
10,"8f49f88a3fd0177ec269627c5aae808d",1695,1,4,95.21,154.19,100.17,0,2,2,3,2,0,1
11,"e23da1d80d8727e711d643019418773d",2636,1,1,332,332,332,0,0,0,0,0,0,0
12,"6029f3b032798bfb61ac456b6a7d1a1d",1135,1,3,338.43,327.333333333333,328.99,0,1,2,2,1,0,1
13,"d95dee066fdc14c82f38075f59323793",2537,1,1,263.46,263.46,263.46,0,0,0,0,0,0,0
14,"b48dc9c8691b60fcc7900d54a4d8131b",2125,1,14,185.66,213.41,185.73,1,0,9,12,8,1,3
15,"f71a30cbce74729bfa7ba501429d7db7",2866,1,1,212.7,212.7,212.7,0,0,0,0,0,0,0
16,"e6ce1600daf0a086d24722bf48031c74",2694,1,5,243.41,225.326,230.48,0,0,0,0,0,0,0
17,"0b98a25876a5f0bd82caca9b8b061142",117,1,2,185.84,312.64,312.64,0,0,0,0,0,0,0
18,"34741e74ed5d27b053e9d11ce72c7c14",647,1,4,202.61,194.7025,194.83,0,1,4,4,1,1,2
19,"5329a7c19edcf9b0f831f83a3cb42688",992,1,3,204.23,308.533333333333,296.85,0,2,2,4,1,2,1
20,"7c021697e00f555dec30fc823b2648c8",1454,1,3,106.42,117.983333333333,121.24,0,0,0,0,0,0,0
21,"cff6c0f16ce02150d1e27b71e203b784",2424,1,4,188.11,213.1875,209.065,0,0,0,0,0,0,0
22,"c14c9560f7db822ed370fa560289e9d0",2267,1,1,397.71,397.71,397.71,0,0,0,0,0,0,0
23,"10ebbffc58eb5897cd946ec77fa5f244",197,1,3,188.99,150.77,144.72,0,0,1,3,1,1,1
24,"cd7c4c7ccaf4e39c4fdbd7c30e3a1f77",2395,1,5,243.59,194.418,193.71,0,0,0,0,0,0,0
25,"97ce8efdfc62124891ca53877d430357",1788,1,1,710.4,710.4,710.4,1,0,0,0,0,0,0
26,"ea9c8af52a543f67f299f2a01cc78792",2734,1,1,187.42,187.42,187.42,0,0,0,0,0,0,0
27,"0418ca3af3077cdda86efedb88deb8ae",40,1,3,186.21,189.543333333333,189.82,0,1,2,2,1,0,1
28,"d28775e4d871d9762ca8a0dbd08300ad",2453,1,1,228.31,228.31,228.31,0,0,0,0,0,0,0
29,"69c0da4579b37dd1edaa8a82d6e2a9c5",1240,1,2,369.65,423.855,423.855,0,0,1,1,0,0,1
30,"f12db959aa8d62a5d61353689a4fc4f7",2801,1,1,94.89,94.89,94.89,0,0,0,0,0,0,0
31,"bd6fd4bc26068cf43b077cb8c7bbce35",2221,1,1,232.94,232.94,232.94,0,1,1,1,0,0,1
32,"cb85f00b817fa10b880f690f7f5e94a6",2376,1,1,225.39,225.39,225.39,0,0,0,0,0,0,0
33,"8800d61c209e77e5b0764c2dcd98daaa",1585,1,5,232.89,186.302,194.78,0,0,1,1,0,1,0
34,"22739945406d62c38a31fadc35cd6f2d",431,1,2,186.91,201.75,201.75,0,0,0,0,0,0,0
35,"68e4a9cf3ab865f78855829abc361e5a",1230,1,2,535.81,492.695,492.695,1,0,0,0,0,0,0
36,"0a27baab9946e7b9d2a136b339c36e21",100,1,2,200.61,195.89,195.89,0,1,2,2,1,0,1
37,"d7c9cc29ce9de669970a236b13ed2763",2517,1,3,270.27,229.636666666667,215.71,0,0,0,0,0,0,0
38,"c09b4f65fea7dcb43402bf0f4aa0036e",2256,1,1,209.88,209.88,209.88,0,1,1,1,1,0,0
39,"0ae56e29ced0b447acf85342b0fd75e4",109,1,2,187,190.38,190.38,0,0,1,3,1,1,1
40,"fbef23f97978e2f5bfef605932663295",2906,1,1,226.18,226.18,226.18,0,0,0,0,0,0,0
41,"a59d53feb28ff7a02046a9beecf2c6f3",1955,1,3,232.94,279.28,286.01,0,3,3,6,3,1,2
42,"8f99c078e3fd08a479a0dc8903dd2e03",1700,1,3,206.13,203.103333333333,203.21,0,0,1,1,0,1,0
43,"10a37d83264d5596d96dc4c292cfceda",193,1,3,188.9,197.19,198.07,0,0,0,0,0,0,0
44,"3aee1dee6b4f5a902ec8da6951b889c3",712,1,1,189.69,189.69,189.69,0,1,1,1,1,0,0
45,"bb374f23bed677d38b3eb73f9b13017a",2193,1,6,341.35,206.233333333333,220.04,0,0,2,3,1,2,0
