"","couponsReceived","orderTime","recDay","orderDay","gap","userID","couponID1","couponID2","couponID3","coupon1Used","coupon2Used","coupon3Used","basketValue"
"298","2015-01-07 12:15:10","2015-01-08 10:23:50","Wed","Thurs",79720,"2bab17","d8dbcf","a4951b","9d880e",0,0,0,211.82
"469","2015-01-07 12:15:10","2015-01-09 13:38:30","Wed","Fri",177800,"2bab17","d8dbcf","a4951b","9d880e",0,0,1,471.85
"487","2015-01-07 12:15:10","2015-01-09 15:38:09","Wed","Fri",184979,"2bab17","d8dbcf","a4951b","9d880e",0,0,0,254.38
"1078","2015-01-13 13:46:17","2015-01-15 18:53:16","Tues","Thurs",191219,"2bab17","d8dbcf","c35702","0affbe",0,0,0,341.81
"1115","2015-01-13 13:46:17","2015-01-16 08:09:52","Tues","Fri",239015,"2bab17","d8dbcf","c35702","0affbe",0,0,0,221.96
"1155","2015-01-13 13:46:17","2015-01-16 15:48:14","Tues","Fri",266517,"2bab17","d8dbcf","c35702","0affbe",0,0,0,265.03
"1891","2015-01-27 14:02:16","2015-01-27 17:27:48","Tues","Tues",12332,"2bab17","227ade","148458","caf83f",1,0,0,465.46
"2038","2015-01-27 14:02:16","2015-01-28 16:45:38","Tues","Wed",96202,"2bab17","227ade","148458","caf83f",0,0,0,564.29
"2190","2015-01-27 14:02:16","2015-01-29 17:10:34","Tues","Thurs",184098,"2bab17","227ade","148458","caf83f",0,1,0,476.25
"2311","2015-01-27 14:02:16","2015-01-30 17:03:46","Tues","Fri",270090,"2bab17","227ade","148458","caf83f",0,0,0,593.05
"2565","2015-01-27 14:02:16","2015-02-02 17:10:12","Tues","Mon",529676,"2bab17","227ade","148458","caf83f",0,0,0,603
"2746","2015-02-04 11:52:50","2015-02-04 16:28:27","Wed","Wed",16537,"2bab17","d3b4d2","3dd29f","e9859c",1,0,0,641.95
"2879","2015-02-04 11:52:50","2015-02-05 16:28:21","Wed","Thurs",102931,"2bab17","d3b4d2","3dd29f","e9859c",0,0,0,691.13
"2964","2015-02-04 11:52:50","2015-02-06 16:16:13","Wed","Fri",188603,"2bab17","d3b4d2","3dd29f","e9859c",1,0,0,533.91
"3179","2015-02-04 11:52:50","2015-02-09 15:38:30","Wed","Mon",445540,"2bab17","d3b4d2","3dd29f","e9859c",1,0,0,493.2
"3366","2015-02-10 15:01:49","2015-02-11 15:38:12","Tues","Wed",88583,"2bab17","4b7f8c","9b250c","f04ed2",0,0,0,580.36
"3552","2015-02-10 15:01:49","2015-02-13 15:40:18","Tues","Fri",261509,"2bab17","4b7f8c","9b250c","f04ed2",1,0,0,526.54
"3749","2015-02-10 15:01:49","2015-02-16 11:25:47","Tues","Mon",505438,"2bab17","4b7f8c","9b250c","f04ed2",0,0,1,696.27
"3989","2015-02-18 14:11:00","2015-02-18 15:45:00","Wed","Wed",5640,"2bab17","ef3b79","49fb10","866283",0,0,0,639.96
"4115","2015-02-18 14:11:00","2015-02-19 15:49:30","Wed","Thurs",92310,"2bab17","ef3b79","49fb10","866283",0,0,0,498.39
"4229","2015-02-18 14:11:00","2015-02-20 16:24:24","Wed","Fri",180804,"2bab17","ef3b79","49fb10","866283",1,0,0,512.28
"4499","2015-02-23 10:19:03","2015-02-23 16:02:38","Mon","Mon",20615,"2bab17","ef3b79","49fb10","866283",0,0,0,635.33
"4579","2015-02-24 15:52:46","2015-02-24 16:01:10","Tues","Tues",504,"2bab17","878488","17e0cc","8554b2",0,1,1,353.67
"4755","2015-02-25 15:26:30","2015-02-25 15:40:30","Wed","Wed",840,"2bab17","878488","17e0cc","8554b2",0,0,0,415.82
"4926","2015-02-25 15:42:40","2015-02-26 15:40:53","Wed","Thurs",86293,"2bab17","878488","17e0cc","8554b2",0,0,0,527.15
"5103","2015-02-27 11:45:01","2015-02-27 15:49:29","Fri","Fri",14668,"2bab17","878488","5e8230","17e0cc",0,0,0,373.58
"5443","2015-03-02 08:37:37","2015-03-02 14:43:07","Mon","Mon",21930,"2bab17","878488","5e8230","17e0cc",1,0,0,577.9
"5608","2015-03-04 13:15:48","2015-03-04 15:02:07","Wed","Wed",6379,"2bab17","67face","38a9ff","5e8230",0,0,0,727.67
"5810","2015-03-05 15:54:50","2015-03-06 10:42:45","Thurs","Fri",67675,"2bab17","67face","38a9ff","5e8230",0,0,0,556.41
"6005","2015-03-09 08:45:43","2015-03-09 13:43:20","Mon","Mon",17857,"2bab17","67face","38a9ff","5e8230",0,0,1,755.83
