orderID,orderTime,userID,couponsReceived,couponID1,price1,basePrice1,reward1,premiumProduct1,brand1,productGroup1,categoryIDs1,couponID2,price2,basePrice2,reward2,premiumProduct2,brand2,productGroup2,categoryIDs2,couponID3,price3,basePrice3,reward3,premiumProduct3,brand3,productGroup3,categoryIDs3,coupon1Used,coupon2Used,coupon3Used,basketValue
1,2015-01-06 09:38:35,1,2015-01-06 09:34:53,1,3.24,5.4,1.57,0,1,1,1:2,1267,5.19,0.57,1.57,0,2,66,9:16,130,12.92,12.92,2.2,0,5,20,2:3:9,0,1,0,187.6
2,2015-01-06 10:03:19,2,2015-01-06 10:00:44,2,2.32,1.59,1.57,0,2,2,3,1268,3.7,1.85,0.94,0,5,173,17,2460,3.89,0.06,2.2,0,2,202,17,1,0,1,185.93
3,2015-01-06 10:08:13,3,2015-01-06 09:29:16,3,7.92,2.64,1.26,1,3,3,1:4,1269,4.17,1.39,1.26,1,3,175,4:16,2040,2.73,0.88,1.26,0,6,137,2:3,0,0,0,208.07
4,2015-01-06 13:23:23,4,2015-01-06 13:13:12,4,2.5,2.08,1.57,0,4,4,1,1270,3.66,0.73,1.57,1,3,50,4:9:16,1642,5.74,4.25,1.57,0,6,7,2:3,1,1,0,185.8
5,2015-01-06 13:37:22,5,2015-01-06 12:48:41,5,12.27,2.45,1.26,0,4,3,1,695,5.74,0.88,1.57,1,3,127,4:16,1335,4.91,2.45,1.57,1,3,97,3,0,0,0,272.12
6,2015-01-06 15:26:36,6,2015-01-06 15:14:20,6,7.5,1.25,0.63,0,2,5,5:6,991,4.35,1.44,1.26,0,5,60,2:19,2461,5.51,1.43,3.14,0,5,28,3,1,0,1,126.01
7,2015-01-06 15:28:48,7,2015-01-06 15:07:53,7,4.68,2.59,1.26,1,3,3,1:4,1271,10,1.33,0.94,0,5,73,3,2462,3.52,1.76,1.88,0,2,97,3,0,0,0,301.43
8,2015-01-06 15:29:30,8,2015-01-06 15:22:37,8,9.17,2.04,0.94,1,3,3,1:4,1272,4.82,0.6,1.57,0,5,50,16,1834,6.21,1.24,1.57,1,3,172,3,1,1,1,141.34
9,2015-01-06 15:36:05,9,2015-01-06 15:19:12,9,4.54,4.54,1.26,0,5,6,7:8,587,3.98,1.99,1.88,0,2,97,3:9,2463,11.86,2.96,1.26,0,5,35,8,0,0,0,199.46
10,2015-01-06 15:37:35,10,2015-01-06 15:26:12,10,7.5,1.25,0.94,0,2,5,5:6,1273,3.06,0.61,1.26,1,3,132,3,2464,5.42,0,1.26,0,5,67,15,1,0,1,95.21
11,2015-01-06 15:38:50,11,2015-01-06 15:16:20,11,6.95,6.95,1.57,0,6,7,2:3,844,7.36,1.47,1.57,0,5,16,3,2465,5.09,0.73,2.2,0,5,171,15,0,0,0,332
12,2015-01-06 15:39:08,12,2015-01-06 15:11:08,8,9.17,2.04,0.94,1,3,3,1:4,1274,3.15,0.9,1.26,0,2,57,16,1842,5.74,0,1.88,0,2,88,3,1,0,0,338.43
13,2015-01-06 15:48:19,13,2015-01-06 15:15:12,12,5.33,4.44,0.94,0,7,1,1,1275,7.59,0.84,1.88,0,22,111,16:24,2109,2.69,1.41,1.57,0,6,104,2:3:10,0,0,0,263.46
14,2015-01-06 16:03:25,14,2015-01-06 15:55:49,13,5.56,4.27,1.57,0,5,8,1,1276,11.44,1.31,1.88,0,2,57,16,2377,14.36,2.87,0.94,0,5,172,3,0,0,0,185.66
15,2015-01-06 16:14:09,15,2015-01-06 15:36:12,14,8.43,3.51,1.88,0,2,9,1,1277,3.75,1.07,0.94,0,2,175,16,806,3.43,3.43,1.26,0,5,18,7,0,0,0,212.7
16,2015-01-06 16:22:46,16,2015-01-06 15:26:41,15,10.56,3.52,0.94,0,4,10,1:9,1278,4.58,0.92,1.26,1,3,50,4:16,2466,6.3,1.26,1.57,0,5,116,3,0,0,0,243.41
17,2015-01-06 16:22:55,17,2015-01-06 15:10:35,16,3.66,0,1.57,0,4,11,2:5:9,1279,36.58,4.57,1.57,0,2,131,2:9:16,2066,17.55,2.19,0.94,0,5,90,3,0,0,0,185.84
18,2015-01-06 16:23:19,18,2015-01-06 15:57:56,17,2.96,1.56,1.57,0,2,12,1,1280,9.59,1.18,0.94,0,5,66,2:11:16:21,1887,4.58,3.06,1.57,0,6,119,2:3:20,0,1,0,202.61
19,2015-01-06 16:25:43,19,2015-01-06 15:19:29,18,9.22,9.22,1.57,0,5,13,1,1281,4.08,2.04,1.57,0,5,90,2:3,1780,3.66,1.82,1.26,0,5,90,2:3,0,1,1,204.23
20,2015-01-06 16:36:00,20,2015-01-06 16:01:33,19,6.67,9.52,1.57,0,7,13,1:10,1282,4.82,1.05,1.57,1,3,111,4:16,1523,7.36,2.95,1.26,0,6,117,2:3:9,0,0,0,106.42
21,2015-01-06 16:39:03,21,2015-01-06 15:16:45,20,7.22,2.19,1.57,0,8,14,1:2,1283,4.35,1.44,1.26,0,22,79,16:24,765,4.45,1.48,0.94,0,5,114,3:11:21,0,0,0,188.11
22,2015-01-06 16:51:16,22,2015-01-06 16:09:33,21,12.18,4.87,1.57,0,2,15,1:9,1284,3.89,1.39,0.94,1,3,98,4:16,1925,5.51,2.75,2.51,1,3,97,3:4,0,0,0,397.71
23,2015-01-06 16:55:25,23,2015-01-06 15:53:05,22,17.32,7.87,0.94,1,3,15,1:4,320,2.73,2.73,1.57,1,3,29,4:7:12,2092,3.47,1.16,1.57,0,5,45,15,0,0,0,188.99
24,2015-01-06 16:57:07,24,2015-01-06 16:22:30,4,2.5,2.08,1.57,0,4,4,1,1285,7.32,1.35,1.26,0,5,98,16,1423,2.32,5.79,1.57,1,3,2,3:4:9,0,0,0,243.59
25,2015-01-06 17:05:07,25,2015-01-06 15:13:38,23,5.51,1.1,1.88,1,3,16,3:4,1286,6.81,0.97,0.94,0,5,149,3,2467,4.03,1.07,0.94,0,5,88,2:3,0,0,0,710.4
26,2015-01-06 17:09:59,26,2015-01-06 16:17:59,24,9.86,3.29,1.26,0,2,9,1:6,1287,3.98,2.74,1.26,1,3,115,3:4,766,3.66,11.43,0.94,0,5,90,3,0,0,0,187.42
27,2015-01-06 17:17:31,27,2015-01-06 16:37:30,25,4.4,1.99,0.94,1,3,17,4:5,1288,8.1,0.9,1.26,0,5,66,2:11:16,1241,6.67,3.33,0.94,0,5,68,3,0,0,1,186.21
28,2015-01-06 17:22:59,28,2015-01-06 17:10:16,26,3.33,3.33,1.26,0,5,18,7,1289,2.96,2.96,1.26,0,5,153,17,177,3.98,2.65,1.57,0,14,8,1,0,0,0,228.31
29,2015-01-06 17:26:46,29,2015-01-06 16:25:21,17,2.96,1.56,1.57,0,2,12,1,1290,3.15,0.44,0.94,0,5,90,2:3,995,6.85,0.69,1.26,0,5,62,15,0,0,0,369.65
30,2015-01-06 17:28:17,30,2015-01-06 16:46:52,27,3.89,1.21,1.26,0,9,19,5,883,3.15,1.96,1.57,0,5,65,3,2468,3.06,1.98,6.28,0,5,119,3,0,0,0,94.89
31,2015-01-06 17:32:09,31,2015-01-06 16:55:42,28,9.63,9.63,1.26,1,3,13,1:4,942,4.45,1.27,1.26,0,5,98,16,953,3.43,0.48,2.2,1,3,90,3:4,0,0,1,232.94
32,2015-01-06 17:42:37,32,2015-01-06 16:35:54,29,7.18,1.7,0.94,0,4,10,1:9,1291,5.09,1.45,1.88,0,5,172,3,647,4.08,2.81,1.57,0,5,73,3,0,0,0,225.39
33,2015-01-06 17:46:45,33,2015-01-06 17:05:00,30,8.89,3.7,1.26,0,4,10,1,124,3.47,0.69,0.94,1,3,50,4:16,1316,3.61,1.9,1.88,0,6,104,2:3:10,0,0,0,232.89
34,2015-01-06 17:50:39,34,2015-01-06 16:59:51,31,5.84,5.84,1.26,1,3,13,1,1292,8.52,0,1.26,0,5,79,16,1935,15.7,3.14,1.26,0,5,86,3,0,0,0,186.91
35,2015-01-06 17:55:03,35,2015-01-06 15:42:06,32,7.87,1.57,1.57,0,5,20,3:10,1293,2.96,0,1.57,0,2,68,3,1906,2.32,0.46,1.57,0,5,42,3,0,0,0,535.81
36,2015-01-06 17:59:40,36,2015-01-06 17:39:12,33,2.73,0.55,1.57,1,3,21,3,1294,2.5,2.5,1.88,1,3,76,3:4,106,3.06,3.06,1.88,1,3,43,4:7,0,0,1,200.61
37,2015-01-06 18:04:10,37,2015-01-06 16:13:39,34,22.92,4.58,1.88,0,5,1,1:10,942,4.45,1.27,1.26,0,5,98,16,1912,8.8,1.76,1.88,0,5,97,3,0,0,0,270.27
38,2015-01-06 18:11:00,38,2015-01-06 17:19:19,35,13.06,1.44,1.26,0,2,5,5:6,1295,3.66,1.82,3.14,0,5,76,2:3,1317,3.57,0,1.57,0,5,76,2:3,1,0,0,209.88
39,2015-01-06 18:20:37,39,2015-01-06 18:00:37,36,2.69,1.07,1.57,1,3,22,3:4,1296,2.69,1.07,1.57,1,3,22,3:4,1784,3.15,1.96,1.26,0,5,65,3,0,0,0,187
40,2015-01-06 18:24:45,40,2015-01-06 18:08:42,37,10,166.72,0.94,1,3,5,4:5,1297,4.58,0,3.14,1,5,63,3:4,1838,2.08,0.42,0,0,5,90,2:3:9,0,0,0,226.18
41,2015-01-06 18:33:01,41,2015-01-06 16:55:08,1,3.24,5.4,1.57,0,1,1,1:2,1298,4.58,1.69,1.26,0,5,98,16,2469,11.07,2.01,0.63,0,5,28,2:3,1,1,1,232.94
42,2015-01-06 18:33:30,42,2015-01-06 17:07:01,38,4.58,0,1.26,1,3,11,4:5,1234,7.13,1.78,1.26,1,3,50,4:9:16,1944,4.58,1.14,0.94,0,6,42,2:3:10,0,0,0,206.13
43,2015-01-06 18:36:20,43,2015-01-06 18:20:55,39,3.06,3.39,1.26,0,5,1,1,1299,4.26,1.42,1.57,0,5,95,3,2470,11.07,7.37,1.57,0,5,106,15,0,0,0,188.9
44,2015-01-06 18:41:54,44,2015-01-06 17:43:08,40,5.97,1.99,1.57,0,4,10,1,1300,5.93,0.79,1.57,0,5,127,16,2471,4.58,3.82,1.88,0,5,86,3,1,0,0,189.69
45,2015-01-06 18:43:02,45,2015-01-06 16:13:58,41,6.44,0,0.94,1,3,11,4:5,130,12.92,12.92,2.2,0,5,20,2:3:9,373,4.21,0.69,3.14,0,5,88,3:9,0,0,0,341.35
46,2015-01-06 18:45:55,46,2015-01-06 17:49:04,42,3.52,1.46,1.57,0,9,23,7,1301,7.36,0,1.57,0,5,176,6:15,228,3.43,1.37,0.94,0,5,36,5,1,0,0,196.68
47,2015-01-06 18:50:24,47,2015-01-06 17:36:58,43,3.2,1.59,0.63,0,5,17,5,1053,6.58,0.66,0.63,0,2,57,16,1354,3.15,0.44,0.94,0,5,90,2:3,1,1,0,203.49
48,2015-01-06 18:51:38,48,2015-01-06 18:24:05,44,2.96,3.29,1.26,0,5,1,1,1302,4.31,3.58,1.26,0,5,30,3,218,3.98,3.98,0.94,0,2,20,2:3:9,0,0,0,190.94
49,2015-01-06 18:55:48,49,2015-01-06 17:16:55,45,3.98,3.98,1.57,0,1,13,1:2,1288,8.1,0.9,1.26,0,5,66,2:11:16,1116,5.46,2.19,2.2,0,6,16,2:3,0,0,0,450.64
50,2015-01-06 18:57:54,50,2015-01-06 17:40:38,46,3.57,1.78,1.26,1,3,24,4:5,588,9.59,1.07,0.94,0,5,66,2:11:16,2472,2.73,0.55,0.94,0,3,42,3,0,0,0,211.5
51,2015-01-06 19:06:27,51,2015-01-06 18:38:25,47,4.49,0.49,0,0,5,25,8:11,10,7.5,1.25,0.94,0,2,5,5:6,2473,2.32,0.46,1.57,0,5,42,3,0,1,0,249.15
52,2015-01-06 19:10:24,52,2015-01-06 18:29:05,48,3.57,0,1.57,0,5,11,5,1303,2.69,0.44,1.26,0,2,50,16,130,12.92,12.92,2.2,0,5,20,2:3:9,0,1,0,192.14
53,2015-01-06 19:20:03,53,2015-01-06 19:01:14,30,8.89,3.7,1.26,0,4,10,1,831,5.09,5.09,2.51,0,2,100,3,1374,5.09,1.02,1.57,0,5,19,3,0,0,0,187.46
54,2015-01-06 19:26:19,54,2015-01-06 18:49:24,49,12.5,7.35,0.63,1,3,3,1:4,1304,5.09,1.69,1.26,0,6,21,2:3:9:10,1836,3.15,1.26,6.28,1,3,59,3:4,0,1,1,186.95
55,2015-01-06 19:36:50,55,2015-01-06 15:22:25,50,9.22,11.51,1.26,0,6,13,1:2,1305,12.92,4.46,1.57,0,5,131,16,1366,3.15,0,1.26,0,6,95,2:3,0,0,0,225.21
56,2015-01-06 19:37:38,56,2015-01-06 19:10:25,51,7.32,2.08,1.57,0,4,26,1,548,2.73,0.45,0.63,0,2,50,9:16,966,2.69,2.69,1.57,1,3,123,3:4:9,0,0,0,189.92
57,2015-01-06 19:49:26,57,2015-01-06 17:57:12,52,4.26,2.13,1.26,0,4,26,1,1306,3.66,1.46,1.57,0,5,42,2:19,747,8.29,1.66,1.57,1,3,20,3:4:9:10,0,0,0,278.18
58,2015-01-06 19:50:12,58,2015-01-06 19:14:05,53,5.51,0,1.26,0,4,11,5:9,1307,9.03,1.81,1.57,0,5,66,16,2474,3.66,0.91,1.57,0,5,90,3,1,1,1,215.8
59,2015-01-06 19:57:47,59,2015-01-06 18:18:00,54,4.17,2.6,1.57,0,4,27,1:9,1308,8.1,0.9,1.26,0,23,66,2:9:11:16:21,815,5.93,3.95,2.51,0,6,90,2:3:9:10,0,0,0,304.07
60,2015-01-06 20:01:47,60,2015-01-06 19:49:57,55,13.11,7.28,0.63,0,4,3,1,1309,8.52,1.7,1.26,0,5,73,3,2475,5.37,2.69,1.57,0,5,73,2:3:9,0,1,0,96.19
61,2015-01-06 20:02:27,61,2015-01-06 19:39:29,56,4.58,0.76,0.94,0,5,25,8,132,6.44,0,1.57,0,5,52,17,2476,3.66,5.71,1.57,0,5,201,17,0,0,0,149.35
62,2015-01-06 20:03:32,62,2015-01-06 19:46:23,57,11.86,5.93,0.63,0,5,28,2:3,1310,11.86,5.93,0.63,0,5,28,3,1134,6.11,6.11,1.26,0,2,20,3,1,1,1,234.14
63,2015-01-06 20:06:05,63,2015-01-06 19:39:43,58,2.59,0.52,1.57,1,3,29,7:9:12,1311,4.49,2.99,1.88,0,5,111,16,423,3.24,0.56,1.26,0,5,90,3,0,0,0,203.21
