"","orderID","orderTime","userID","couponsReceived","couponID1","price1","basePrice1","reward1","premiumProduct1","brand1","productGroup1","categoryIDs1","couponID2","price2","basePrice2","reward2","premiumProduct2","brand2","productGroup2","categoryIDs2","couponID3","price3","basePrice3","reward3","premiumProduct3","brand3","productGroup3","categoryIDs3","coupon1Used","coupon2Used","coupon3Used","basketValue"
"1",1,"2015-01-06 09:38:35",1,"2015-01-06 09:34:53",1,3.24,5.4,1.57,0,1,1,1,1267,5.19,0.57,1.57,0,2,66,80,130,12.92,12.92,2.2,0,5,20,26,0,1,0,187.6
"2",2,"2015-01-06 10:03:19",2,"2015-01-06 10:00:44",2,2.32,1.59,1.57,0,2,2,2,1268,3.7,1.85,0.94,0,5,173,36,2460,3.89,0.06,2.2,0,2,202,36,1,0,1,185.93
"3",3,"2015-01-06 10:08:13",3,"2015-01-06 09:29:16",3,7.92,2.64,1.26,1,3,3,3,1269,4.17,1.39,1.26,1,3,175,35,2040,2.73,0.88,1.26,0,6,137,7,0,0,0,208.07
"4",4,"2015-01-06 13:23:23",4,"2015-01-06 13:13:12",4,2.5,2.08,1.57,0,4,4,4,1270,3.66,0.73,1.57,1,3,50,125,1642,5.74,4.25,1.57,0,6,7,7,1,1,0,185.8
"5",5,"2015-01-06 13:37:22",5,"2015-01-06 12:48:41",5,12.27,2.45,1.26,0,4,3,4,695,5.74,0.88,1.57,1,3,127,35,1335,4.91,2.45,1.57,1,3,97,2,0,0,0,272.12
"6",6,"2015-01-06 15:26:36",6,"2015-01-06 15:14:20",6,7.5,1.25,0.63,0,2,5,5,991,4.35,1.44,1.26,0,5,60,111,2461,5.51,1.43,3.14,0,5,28,2,1,0,1,126.01
"7",7,"2015-01-06 15:28:48",7,"2015-01-06 15:07:53",7,4.68,2.59,1.26,1,3,3,3,1271,10,1.33,0.94,0,5,73,2,2462,3.52,1.76,1.88,0,2,97,2,0,0,0,301.43
"8",8,"2015-01-06 15:29:30",8,"2015-01-06 15:22:37",8,9.17,2.04,0.94,1,3,3,3,1272,4.82,0.6,1.57,0,5,50,63,1834,6.21,1.24,1.57,1,3,172,2,1,1,1,141.34
"9",9,"2015-01-06 15:36:05",9,"2015-01-06 15:19:12",9,4.54,4.54,1.26,0,5,6,6,587,3.98,1.99,1.88,0,2,97,64,2463,11.86,2.96,1.26,0,5,35,19,0,0,0,199.46
"10",10,"2015-01-06 15:37:35",10,"2015-01-06 15:26:12",10,7.5,1.25,0.94,0,2,5,5,1273,3.06,0.61,1.26,1,3,132,2,2464,5.42,0,1.26,0,5,67,34,1,0,1,95.21
