orderID,nCoupon1Used,nCoupon2Used,nCoupon3Used,pCoupon1Used,pCoupon2Used,pCoupon3Used,nCoup1Col1Used,nCoup1Col2Used,nCoup1Col3Used,nCoup2Col1Used,nCoup2Col2Used,nCoup2Col3Used,nCoup3Col1Used,nCoup3Col2Used,nCoup3Col3Used,pCoup1Col1Used,pCoup1Col2Used,pCoup1Col3Used,pCoup2Col1Used,pCoup2Col2Used,pCoup2Col3Used,pCoup3Col1Used,pCoup3Col2Used,pCoup3Col3Used
6054,44,3,2,0.321167883211679,0.157894736842105,0.1,43,0,1,0,3,0,0,0,2,0.977272727272727,0,0.0227272727272727,0,1,0,0,0,1
6055,44,0,3,0.321167883211679,0,0.0833333333333333,43,0,1,0,0,0,0,0,3,0.977272727272727,0,0.0227272727272727,,,,0,0,1
6056,,0,1,,0,0.25,,,,0,0,0,0,0,1,,,,,,,0,0,1
6057,5,0,2,0.555555555555556,0,0.25,2,1,2,0,0,0,0,1,1,0.4,0.2,0.4,,,,0,0.5,0.5
6058,0,0,2,0,0,0.25,0,0,0,0,0,0,0,0,2,,,,,,,0,0,1
6059,5,2,5,0.119047619047619,0.133333333333333,0.227272727272727,5,0,0,0,2,0,0,4,1,1,0,0,0,1,0,0,0.8,0.2
6060,49,3,3,0.628205128205128,0.12,0.5,34,8,7,0,1,2,0,0,3,0.693877551020408,0.163265306122449,0.142857142857143,0,0.333333333333333,0.666666666666667,0,0,1
6061,17,0,,0.68,0,,13,3,1,0,0,0,,,,0.764705882352941,0.176470588235294,0.0588235294117647,,,,,,
6062,13,2,1,0.333333333333333,0.5,0.333333333333333,1,3,9,0,1,1,0,1,0,0.0769230769230769,0.230769230769231,0.692307692307692,0,0.5,0.5,0,1,0
6063,2,0,2,0.4,0,0.153846153846154,2,0,0,0,0,0,0,1,1,1,0,0,,,,0,0.5,0.5
6064,0,,0,0,,0,0,0,0,,,,0,0,0,,,,,,,,,
6065,4,0,8,0.666666666666667,0,0.5,4,0,0,0,0,0,4,1,3,1,0,0,,,,0.5,0.125,0.375
6066,3,0,6,0.272727272727273,0,0.146341463414634,3,0,0,0,0,0,0,2,4,1,0,0,,,,0,0.333333333333333,0.666666666666667
6067,7,5,0,0.194444444444444,0.131578947368421,0,7,0,0,0,5,0,0,0,0,1,0,0,0,1,0,,,
6068,,,3,,,0.0882352941176471,,,,,,,0,3,0,,,,,,,0,1,0
6069,28,9,,0.345679012345679,0.18,,26,1,1,0,3,6,,,,0.928571428571429,0.0357142857142857,0.0357142857142857,0,0.333333333333333,0.666666666666667,,,
6070,2,1,0,0.222222222222222,0.333333333333333,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,,,
6071,3,8,5,0.1875,0.242424242424242,0.5,3,0,0,0,7,1,0,1,4,1,0,0,0,0.875,0.125,0,0.2,0.8
6072,2,4,5,0.285714285714286,0.307692307692308,0.277777777777778,2,0,0,0,4,0,0,3,2,1,0,0,0,1,0,0,0.6,0.4
6073,6,5,,0.4,0.147058823529412,,6,0,0,0,5,0,,,,1,0,0,0,1,0,,,
6074,7,,,0.7,,,2,4,1,,,,,,,0.285714285714286,0.571428571428571,0.142857142857143,,,,,,
6075,2,2,,0.25,0.153846153846154,,2,0,0,0,2,0,,,,1,0,0,0,1,0,,,
6076,,,2,,,0.222222222222222,,,,,,,0,2,0,,,,,,,0,1,0
6077,6,1,2,0.25,0.142857142857143,0.1,6,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,1
6078,3,1,14,0.1875,0.0714285714285714,0.259259259259259,3,0,0,0,0,1,0,5,9,1,0,0,0,0,1,0,0.357142857142857,0.642857142857143
6079,,0,1,,0,0.0384615384615385,,,,0,0,0,0,1,0,,,,,,,0,1,0
6080,2,,2,0.4,,0.166666666666667,1,1,0,,,,0,0,2,0.5,0.5,0,,,,0,0,1
6081,,,0,,,0,,,,,,,0,0,0,,,,,,,,,
6082,1,0,4,0.25,0,0.125,1,0,0,0,0,0,0,1,3,1,0,0,,,,0,0.25,0.75
6083,4,1,0,0.444444444444444,0.111111111111111,0,4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,,,
6084,1,11,14,0.0303030303030303,0.150684931506849,0.259259259259259,1,0,0,0,11,0,0,5,9,1,0,0,0,1,0,0,0.357142857142857,0.642857142857143
6085,2,1,2,0.285714285714286,0.333333333333333,1,2,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0.5,0.5
6086,0,1,0,0,0.0833333333333333,0,0,0,0,0,1,0,0,0,0,,,,0,1,0,,,
6087,,0,6,,0,0.666666666666667,,,,0,0,0,3,0,3,,,,,,,0.5,0,0.5
6088,7,1,2,0.142857142857143,0.142857142857143,0.666666666666667,6,0,1,1,0,0,1,1,0,0.857142857142857,0,0.142857142857143,1,0,0,0.5,0.5,0
6089,1,5,6,0.0588235294117647,0.147058823529412,0.2,1,0,0,0,5,0,0,1,5,1,0,0,0,1,0,0,0.166666666666667,0.833333333333333
6090,,,,,,,,,,,,,,,,,,,,,,,,
6091,,8,14,,0.242424242424242,0.259259259259259,,,,0,7,1,0,5,9,,,,0,0.875,0.125,0,0.357142857142857,0.642857142857143
6092,20,4,0,0.210526315789474,0.181818181818182,0,20,0,0,0,4,0,0,0,0,1,0,0,0,1,0,,,
6093,3,1,1,0.1875,0.0769230769230769,0.25,3,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
6094,8,,0,0.5,,0,2,4,2,,,,0,0,0,0.25,0.5,0.25,,,,,,
6095,7,0,1,0.194444444444444,0,0.0666666666666667,7,0,0,0,0,0,0,0,1,1,0,0,,,,0,0,1
6096,20,3,6,0.210526315789474,0.0789473684210526,0.2,20,0,0,0,2,1,0,1,5,1,0,0,0,0.666666666666667,0.333333333333333,0,0.166666666666667,0.833333333333333
6097,3,,4,0.214285714285714,,0.363636363636364,3,0,0,,,,0,0,4,1,0,0,,,,0,0,1
6098,10,2,,0.344827586206897,0.666666666666667,,7,0,3,0,2,0,,,,0.7,0,0.3,0,1,0,,,
6099,3,0,2,0.1875,0,0.153846153846154,3,0,0,0,0,0,0,2,0,1,0,0,,,,0,1,0
6100,8,,2,0.181818181818182,,0.5,8,0,0,,,,0,1,1,1,0,0,,,,0,0.5,0.5
6101,44,4,4,0.321167883211679,0.181818181818182,0.571428571428571,43,0,1,0,4,0,1,0,3,0.977272727272727,0,0.0227272727272727,0,1,0,0.25,0,0.75
6102,0,,,0,,,0,0,0,,,,,,,,,,,,,,,
6103,24,2,0,0.19672131147541,0.333333333333333,0,24,0,0,0,2,0,0,0,0,1,0,0,0,1,0,,,
6104,,2,6,,0.181818181818182,0.4,,,,0,1,1,1,3,2,,,,0,0.5,0.5,0.166666666666667,0.5,0.333333333333333
6105,20,1,1,0.210526315789474,0.2,0.111111111111111,20,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0
