"","orderID","couponUsed","couponcol","predicted"
"1",5486,0,1,"0"
"2",5486,0,2,"0"
"3",5486,0,3,"0"
"4",5487,1,1,"0"
"5",5487,1,2,"0"
"6",5487,0,3,"0"
"7",5488,1,1,"0"
"8",5488,1,2,"0"
"9",5488,1,3,"0"
"10",5489,1,1,"0"
"11",5489,0,2,"0"
"12",5489,0,3,"0"
"13",5490,0,1,"0"
"14",5490,0,2,"0"
"15",5490,1,3,"0"
"16",5491,0,1,"0"
"17",5491,1,2,"0"
"18",5491,0,3,"0"
"19",5492,1,1,"0"
"20",5492,0,2,"0"
"21",5492,0,3,"0"
"22",5493,0,1,"0"
"23",5493,0,2,"1"
"24",5493,1,3,"0"
"25",5494,1,1,"0"
"26",5494,1,2,"0"
"27",5494,0,3,"0"
"28",5495,0,1,"0"
"29",5495,0,2,"0"
"30",5495,0,3,"0"
"31",5496,1,1,"0"
"32",5496,1,2,"0"
"33",5496,1,3,"0"
"34",5497,0,1,"0"
"35",5497,0,2,"0"
"36",5497,0,3,"0"
"37",5498,0,1,"1"
"38",5498,0,2,"0"
"39",5498,0,3,"0"
"40",5499,1,1,"0"
"41",5499,1,2,"0"
"42",5499,0,3,"0"
"43",5500,0,1,"0"
"44",5500,0,2,"0"
"45",5500,1,3,"0"
"46",5501,0,1,"0"
"47",5501,0,2,"0"
"48",5501,0,3,"0"
"49",5502,0,1,"0"
"50",5502,0,2,"0"
"51",5502,0,3,"0"
"52",5503,1,1,"1"
"53",5503,0,2,"0"
"54",5503,1,3,"0"
"55",5504,0,1,"0"
"56",5504,0,2,"0"
"57",5504,0,3,"0"
"58",5505,0,1,"0"
"59",5505,0,2,"0"
"60",5505,0,3,"0"
"61",5506,1,1,"0"
"62",5506,1,2,"0"
"63",5506,0,3,"0"
"64",5507,1,1,"0"
"65",5507,0,2,"0"
"66",5507,0,3,"0"
"67",5508,0,1,"0"
"68",5508,0,2,"0"
"69",5508,0,3,"0"
"70",5509,1,1,"0"
"71",5509,0,2,"0"
"72",5509,1,3,"0"
"73",5510,0,1,"0"
"74",5510,0,2,"0"
"75",5510,1,3,"0"
"76",5511,1,1,"0"
"77",5511,0,2,"0"
"78",5511,0,3,"0"
"79",5512,0,1,"0"
"80",5512,0,2,"0"
"81",5512,0,3,"0"
"82",5513,0,1,"0"
"83",5513,1,2,"0"
"84",5513,0,3,"0"
"85",5514,1,1,"0"
"86",5514,1,2,"0"
"87",5514,0,3,"0"
"88",5515,0,1,"0"
"89",5515,0,2,"0"
"90",5515,0,3,"0"
"91",5516,0,1,"0"
"92",5516,0,2,"0"
"93",5516,0,3,"0"
"94",5517,0,1,"0"
"95",5517,0,2,"0"
"96",5517,0,3,"0"
"97",5518,1,1,"0"
"98",5518,0,2,"0"
"99",5518,1,3,"1"
"100",5519,0,1,"0"
"101",5519,0,2,"0"
"102",5519,0,3,"0"
"103",5520,0,1,"0"
"104",5520,0,2,"0"
"105",5520,0,3,"0"
"106",5521,0,1,"0"
"107",5521,1,2,"0"
"108",5521,0,3,"0"
"109",5522,1,1,"0"
"110",5522,0,2,"0"
"111",5522,1,3,"0"
"112",5523,0,1,"0"
"113",5523,0,2,"1"
"114",5523,0,3,"0"
"115",5524,0,1,"0"
"116",5524,0,2,"0"
"117",5524,0,3,"0"
"118",5525,0,1,"0"
"119",5525,0,2,"0"
"120",5525,0,3,"0"
"121",5526,0,1,"0"
"122",5526,0,2,"0"
"123",5526,0,3,"0"
"124",5527,1,1,"0"
"125",5527,0,2,"0"
"126",5527,1,3,"0"
"127",5528,0,1,"0"
"128",5528,0,2,"0"
"129",5528,0,3,"0"
"130",5529,0,1,"0"
"131",5529,0,2,"0"
"132",5529,0,3,"0"
"133",5530,0,1,"0"
"134",5530,0,2,"0"
