"","couponID","nUser","nUserUsed","nUserTwiceorMore","nUserNotUsed"
"1","cpn1",2,0,0,2
"760","cpn2",2,1,0,1
"1358","cpn3",25,2,0,23
"1852","cpn7",11,2,0,9
"1932","cpn8",15,4,0,11
"2021","cpn9",5,0,0,5
"2","cpn10",6,1,0,5
"75","cpn11",20,5,0,15
"162","cpn12",1,1,0,0
"247","cpn13",7,1,0,6
"329","cpn14",11,0,0,11
"415","cpn15",4,1,0,3
"499","cpn16",8,5,0,3
"568","cpn17",2,0,0,2
"635","cpn18",1,1,0,0
"694","cpn19",4,0,0,4
"761","cpn20",2,1,0,1
"830","cpn21",1,0,0,1
"897","cpn22",40,14,1,26
"956","cpn23",11,2,0,9
"1018","cpn24",6,2,0,4
"1086","cpn25",3,0,0,3
"1140","cpn26",2,0,0,2
"1260","cpn28",20,13,2,7
"1302","cpn29",4,0,0,4
"1359","cpn30",2,1,0,1
"1450","cpn32",1,0,0,1
"1525","cpn34",1,0,0,1
"1535","cpn35",1,0,0,1
"1542","cpn36",9,4,0,5
"1551","cpn37",2,0,0,2
"1560","cpn38",12,1,0,11
"1570","cpn39",5,2,0,3
"1578","cpn40",10,3,0,7
"1587","cpn41",2,2,0,0
"1598","cpn42",6,0,0,6
"1606","cpn43",7,0,0,7
"1623","cpn45",9,2,0,7
"1633","cpn46",4,0,0,4
"1651","cpn48",7,3,0,4
"1659","cpn49",3,0,0,3
"1669","cpn50",2,0,0,2
"1680","cpn51",6,1,0,5
"1690","cpn52",5,2,0,3
"1699","cpn53",5,0,0,5
"1706","cpn54",8,0,0,8
"1717","cpn55",1,0,0,1
"1727","cpn56",3,1,0,2
"1738","cpn57",4,2,0,2
"1747","cpn58",2,0,0,2
"1756","cpn59",3,0,0,3
"1764","cpn60",8,1,0,7
"1781","cpn62",13,1,0,12
"1791","cpn63",8,1,0,7
"1800","cpn64",13,1,0,12
"1810","cpn65",8,0,0,8
"1821","cpn66",1,1,0,0
"1830","cpn67",6,2,0,4
"1839","cpn68",1,0,0,1
"1846","cpn69",5,1,0,4
"1853","cpn70",4,0,0,4
"1860","cpn71",17,0,0,17
"1869","cpn72",2,1,0,1
"1880","cpn73",1,0,0,1
"1890","cpn74",5,1,0,4
"1898","cpn75",3,2,0,1
"1905","cpn76",1,0,0,1
"1911","cpn77",1,0,0,1
"1916","cpn78",7,1,0,6
"1924","cpn79",4,1,0,3
"1933","cpn80",1,0,0,1
"1951","cpn82",6,2,0,4
"1961","cpn83",3,1,0,2
"1971","cpn84",1,0,0,1
"1978","cpn85",1,0,0,1
"2002","cpn88",14,3,0,11
"2012","cpn89",6,0,0,6
"2022","cpn90",16,3,0,13
"2032","cpn91",7,1,0,6
"2037","cpn92",2,0,0,2
"2052","cpn94",13,3,0,10
"2061","cpn95",12,3,0,9
"2072","cpn96",2,0,0,2
"2081","cpn97",13,1,0,12
"2088","cpn98",6,0,0,6
"2096","cpn99",2,1,0,1
"3","cpn100",2,1,0,1
"10","cpn101",1,0,0,1
"16","cpn102",2,0,0,2
"23","cpn103",2,0,0,2
"36","cpn105",7,2,1,5
"42","cpn106",2,0,0,2
"50","cpn107",2,0,0,2
"59","cpn108",9,8,0,1
"69","cpn109",1,0,0,1
"76","cpn110",3,0,0,3
"86","cpn111",4,0,0,4
"94","cpn112",4,0,0,4
"103","cpn113",1,0,0,1
"113","cpn114",12,10,0,2
"132","cpn116",4,0,0,4
"145","cpn118",1,0,0,1
"154","cpn119",11,4,0,7
"163","cpn120",9,0,0,9
"172","cpn121",6,0,0,6
"178","cpn122",1,0,0,1
